['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,RAI,2,ULTRASOFT,1,100368000000,5.0,False,1,True
Ferrari,RAI,3,ULTRASOFT,1,100392000000,6.0,False,2,True
Ferrari,RAI,4,ULTRASOFT,1,100967000000,7.0,False,1,True
Ferrari,RAI,5,ULTRASOFT,1,100126000000,8.0,False,1,True
Ferrari,RAI,6,ULTRASOFT,1,100251000000,9.0,False,1,True
Ferrari,RAI,7,ULTRASOFT,1,100534000000,10.0,False,1,True
Ferrari,RAI,8,ULTRASOFT,1,101236000000,11.0,False,1,True
Ferrari,RAI,9,ULTRASOFT,1,101019000000,12.0,False,2,True
Ferrari,RAI,10,ULTRASOFT,1,100823000000,13.0,False,2,True
Ferrari,RAI,11,ULTRASOFT,1,138251000000,14.0,False,26,False
Ferrari,RAI,12,ULTRASOFT,1,112305000000,15.0,False,67,False
Ferrari,RAI,13,ULTRASOFT,1,99716000000,16.0,False,1,True
Ferrari,RAI,14,ULTRASOFT,1,100520000000,17.0,False,1,True
Ferrari,RAI,15,ULTRASOFT,1,100846000000,18.0,False,1,True
Ferrari,RAI,16,ULTRASOFT,1,101031000000,19.0,False,1,True
Ferrari,RAI,17,ULTRASOFT,1,100869000000,20.0,False,1,True
Ferrari,RAI,18,ULTRASOFT,1,101262000000,21.0,False,1,True
Ferrari,RAI,19,ULTRASOFT,1,101799000000,22.0,False,1,True
Ferrari,RAI,20,ULTRASOFT,1,102392000000,23.0,False,1,True
Ferrari,RAI,21,ULTRASOFT,1,103372000000,24.0,False,1,False
Ferrari,RAI,22,SOFT,2,117795000000,1.0,True,1,False
Ferrari,RAI,23,SOFT,2,98856000000,2.0,True,1,True
Ferrari,RAI,24,SOFT,2,99968000000,3.0,True,1,True
Ferrari,RAI,25,SOFT,2,98742000000,4.0,True,1,True
Ferrari,RAI,26,SOFT,2,99731000000,5.0,True,1,True
Ferrari,RAI,27,SOFT,2,99413000000,6.0,True,1,True
Ferrari,RAI,28,SOFT,2,99388000000,7.0,True,1,True
Ferrari,RAI,29,SOFT,2,99368000000,8.0,True,1,True
Ferrari,RAI,30,SOFT,2,99560000000,9.0,True,1,True
Ferrari,RAI,31,SOFT,2,99246000000,10.0,True,1,True
Ferrari,RAI,32,SOFT,2,99630000000,11.0,True,1,True
Ferrari,RAI,33,SOFT,2,99536000000,12.0,True,1,True
Ferrari,RAI,34,SOFT,2,99485000000,13.0,True,1,True
Ferrari,RAI,35,SOFT,2,99757000000,14.0,True,1,True
Ferrari,RAI,36,SOFT,2,100162000000,15.0,True,1,True
Ferrari,RAI,37,SOFT,2,99901000000,16.0,True,1,True
Ferrari,RAI,38,SOFT,2,98977000000,17.0,True,1,True
Ferrari,RAI,39,SOFT,2,98752000000,18.0,True,1,True
Ferrari,RAI,40,SOFT,2,99626000000,19.0,True,1,True
Ferrari,RAI,41,SOFT,2,98956000000,20.0,True,1,True
Ferrari,RAI,42,SOFT,2,98906000000,21.0,True,1,True
Ferrari,RAI,43,SOFT,2,98950000000,22.0,True,1,True
Ferrari,RAI,44,SOFT,2,98718000000,23.0,True,1,True
Ferrari,RAI,45,SOFT,2,98482000000,24.0,True,1,True
Ferrari,RAI,46,SOFT,2,98576000000,25.0,True,1,True
Ferrari,RAI,47,SOFT,2,98803000000,26.0,True,1,True
Ferrari,RAI,48,SOFT,2,99057000000,27.0,True,1,True
Ferrari,RAI,49,SOFT,2,98864000000,28.0,True,1,True
Ferrari,RAI,50,SOFT,2,98660000000,29.0,True,1,True
Ferrari,RAI,51,SOFT,2,98794000000,30.0,True,1,True
Ferrari,RAI,52,SOFT,2,98777000000,31.0,True,1,True
Ferrari,RAI,53,SOFT,2,99040000000,32.0,True,1,True
Ferrari,RAI,54,SOFT,2,99225000000,33.0,True,1,True
Ferrari,RAI,55,SOFT,2,99136000000,34.0,True,1,True
Ferrari,RAI,56,SOFT,2,100338000000,35.0,True,1,True
