['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,SAI,2,SUPERSOFT,1,102445000000,2.0,False,1,True
Renault,SAI,3,SUPERSOFT,1,102228000000,3.0,False,2,True
Renault,SAI,4,SUPERSOFT,1,102436000000,4.0,False,1,True
Renault,SAI,5,SUPERSOFT,1,102439000000,5.0,False,1,True
Renault,SAI,6,SUPERSOFT,1,103653000000,6.0,False,1,True
Renault,SAI,7,SUPERSOFT,1,102882000000,7.0,False,1,True
Renault,SAI,8,SUPERSOFT,1,102851000000,8.0,False,1,True
Renault,SAI,9,SUPERSOFT,1,102675000000,9.0,False,2,True
Renault,SAI,10,SUPERSOFT,1,114819000000,10.0,False,26,False
Renault,SAI,11,SUPERSOFT,1,134111000000,11.0,False,67,False
Renault,SAI,12,SUPERSOFT,1,103984000000,12.0,False,7,False
Renault,SAI,13,SUPERSOFT,1,101658000000,13.0,False,1,True
Renault,SAI,14,SUPERSOFT,1,102276000000,14.0,False,1,True
Renault,SAI,15,SUPERSOFT,1,102120000000,15.0,False,1,True
Renault,SAI,16,SUPERSOFT,1,102180000000,16.0,False,1,True
Renault,SAI,17,SUPERSOFT,1,102164000000,17.0,False,1,True
Renault,SAI,18,SUPERSOFT,1,102391000000,18.0,False,1,True
Renault,SAI,19,SUPERSOFT,1,102328000000,19.0,False,1,True
Renault,SAI,20,SUPERSOFT,1,102527000000,20.0,False,1,True
Renault,SAI,21,SUPERSOFT,1,102467000000,21.0,False,1,True
Renault,SAI,22,SUPERSOFT,1,102550000000,22.0,False,1,True
Renault,SAI,23,SUPERSOFT,1,102299000000,23.0,False,1,True
Renault,SAI,24,SUPERSOFT,1,102953000000,24.0,False,1,False
Renault,SAI,25,SOFT,2,125434000000,1.0,True,1,False
Renault,SAI,26,SOFT,2,100752000000,2.0,True,1,True
Renault,SAI,27,SOFT,2,100455000000,3.0,True,1,True
Renault,SAI,28,SOFT,2,101215000000,4.0,True,1,True
Renault,SAI,29,SOFT,2,101166000000,5.0,True,1,True
Renault,SAI,30,SOFT,2,101109000000,6.0,True,1,True
Renault,SAI,31,SOFT,2,101302000000,7.0,True,1,True
Renault,SAI,32,SOFT,2,101048000000,8.0,True,1,True
Renault,SAI,33,SOFT,2,101099000000,9.0,True,1,True
Renault,SAI,34,SOFT,2,100904000000,10.0,True,1,True
Renault,SAI,35,SOFT,2,100503000000,11.0,True,1,True
Renault,SAI,36,SOFT,2,100564000000,12.0,True,1,True
Renault,SAI,37,SOFT,2,100571000000,13.0,True,1,True
Renault,SAI,38,SOFT,2,100592000000,14.0,True,1,True
Renault,SAI,39,SOFT,2,100691000000,15.0,True,1,True
Renault,SAI,40,SOFT,2,100378000000,16.0,True,1,True
Renault,SAI,41,SOFT,2,100595000000,17.0,True,1,True
Renault,SAI,42,SOFT,2,100526000000,18.0,True,1,True
Renault,SAI,43,SOFT,2,100298000000,19.0,True,1,True
Renault,SAI,44,SOFT,2,100482000000,20.0,True,1,True
Renault,SAI,45,SOFT,2,99858000000,21.0,True,1,True
Renault,SAI,46,SOFT,2,100271000000,22.0,True,1,True
Renault,SAI,47,SOFT,2,100182000000,23.0,True,1,True
Renault,SAI,48,SOFT,2,100049000000,24.0,True,1,True
Renault,SAI,49,SOFT,2,100088000000,25.0,True,1,True
Renault,SAI,50,SOFT,2,100054000000,26.0,True,1,True
Renault,SAI,51,SOFT,2,100189000000,27.0,True,1,True
Renault,SAI,52,SOFT,2,100366000000,28.0,True,1,True
Renault,SAI,53,SOFT,2,100881000000,29.0,True,1,True
Renault,SAI,54,SOFT,2,100751000000,30.0,True,1,True
Renault,SAI,55,SOFT,2,100772000000,31.0,True,1,True
Renault,SAI,56,SOFT,2,101922000000,32.0,True,1,True
