"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Mercedes,HAM,2.0,ULTRASOFT,1,None,5.0,False,4,False"
"Mercedes,HAM,3.0,ULTRASOFT,1,None,6.0,False,4,False"
"Mercedes,HAM,4.0,ULTRASOFT,1,None,7.0,False,4,False"
"Mercedes,HAM,5.0,ULTRASOFT,1,103982000000,8.0,False,1,False"
"Mercedes,HAM,6.0,ULTRASOFT,1,104686000000,9.0,False,1,True"
"Mercedes,HAM,7.0,ULTRASOFT,1,128384000000,10.0,False,26,False"
"Mercedes,HAM,8.0,SUPERSOFT,2,147462000000,1.0,True,67,False"
"Mercedes,HAM,9.0,SUPERSOFT,2,104895000000,2.0,True,1,True"
"Mercedes,HAM,10.0,SUPERSOFT,2,105144000000,3.0,True,1,True"
"Mercedes,HAM,11.0,SUPERSOFT,2,104924000000,4.0,True,1,True"
"Mercedes,HAM,12.0,SUPERSOFT,2,105192000000,5.0,True,1,True"
"Mercedes,HAM,13.0,SUPERSOFT,2,105021000000,6.0,True,1,True"
"Mercedes,HAM,14.0,SUPERSOFT,2,104767000000,7.0,True,1,True"
"Mercedes,HAM,15.0,SUPERSOFT,2,105363000000,8.0,True,1,True"
"Mercedes,HAM,16.0,SUPERSOFT,2,104884000000,9.0,True,1,True"
"Mercedes,HAM,17.0,SUPERSOFT,2,104974000000,10.0,True,1,True"
"Mercedes,HAM,18.0,SUPERSOFT,2,105155000000,11.0,True,1,True"
"Mercedes,HAM,19.0,SUPERSOFT,2,104263000000,12.0,True,1,True"
"Mercedes,HAM,20.0,SUPERSOFT,2,103988000000,13.0,True,1,True"
"Mercedes,HAM,21.0,SUPERSOFT,2,104186000000,14.0,True,1,True"
"Mercedes,HAM,22.0,SUPERSOFT,2,104119000000,15.0,True,1,True"
"Mercedes,HAM,23.0,SUPERSOFT,2,104384000000,16.0,True,1,True"
"Mercedes,HAM,24.0,SUPERSOFT,2,104524000000,17.0,True,1,True"
"Mercedes,HAM,25.0,SUPERSOFT,2,104250000000,18.0,True,1,True"
"Mercedes,HAM,26.0,SUPERSOFT,2,104437000000,19.0,True,1,True"
"Mercedes,HAM,27.0,SUPERSOFT,2,105065000000,20.0,True,1,True"
"Mercedes,HAM,28.0,SUPERSOFT,2,104006000000,21.0,True,1,True"
"Mercedes,HAM,29.0,SUPERSOFT,2,103479000000,22.0,True,1,True"
"Mercedes,HAM,30.0,SUPERSOFT,2,103245000000,23.0,True,1,False"
"Mercedes,HAM,31.0,SUPERSOFT,2,103300000000,24.0,True,1,True"
"Mercedes,HAM,32.0,SUPERSOFT,2,103460000000,25.0,True,1,True"
"Mercedes,HAM,33.0,SUPERSOFT,2,103463000000,26.0,True,1,True"
"Mercedes,HAM,34.0,SUPERSOFT,2,103183000000,27.0,True,1,True"
"Mercedes,HAM,35.0,SUPERSOFT,2,103805000000,28.0,True,1,True"
"Mercedes,HAM,36.0,SUPERSOFT,2,103199000000,29.0,True,1,True"
"Mercedes,HAM,37.0,SUPERSOFT,2,103137000000,30.0,True,1,True"
"Mercedes,HAM,38.0,SUPERSOFT,2,103597000000,31.0,True,1,True"
"Mercedes,HAM,39.0,SUPERSOFT,2,103410000000,32.0,True,1,True"
"Mercedes,HAM,40.0,SUPERSOFT,2,102976000000,33.0,True,1,True"
"Mercedes,HAM,41.0,SUPERSOFT,2,103646000000,34.0,True,1,True"
"Mercedes,HAM,42.0,SUPERSOFT,2,102870000000,35.0,True,1,True"
"Mercedes,HAM,43.0,SUPERSOFT,2,102677000000,36.0,True,1,True"
"Mercedes,HAM,44.0,SUPERSOFT,2,103129000000,37.0,True,1,True"
"Mercedes,HAM,45.0,SUPERSOFT,2,103071000000,38.0,True,1,True"
"Mercedes,HAM,46.0,SUPERSOFT,2,102388000000,39.0,True,1,True"
"Mercedes,HAM,47.0,SUPERSOFT,2,103611000000,40.0,True,1,True"
"Mercedes,HAM,48.0,SUPERSOFT,2,102785000000,41.0,True,2,True"
"Mercedes,HAM,49.0,SUPERSOFT,2,103451000000,42.0,True,2,True"
"Mercedes,HAM,50.0,SUPERSOFT,2,102093000000,43.0,True,1,True"
"Mercedes,HAM,51.0,SUPERSOFT,2,101370000000,44.0,True,1,True"
"Mercedes,HAM,52.0,SUPERSOFT,2,101896000000,45.0,True,1,True"
"Mercedes,HAM,53.0,SUPERSOFT,2,101357000000,46.0,True,1,True"
"Mercedes,HAM,54.0,SUPERSOFT,2,101786000000,47.0,True,1,True"
"Mercedes,HAM,55.0,SUPERSOFT,2,102696000000,48.0,True,1,True"
