"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Toro Rosso,HAR,2.0,ULTRASOFT,1,None,2.0,True,4,False"
"Toro Rosso,HAR,3.0,SUPERSOFT,2,None,1.0,True,4,False"
"Toro Rosso,HAR,4.0,SUPERSOFT,2,None,2.0,True,4,False"
"Toro Rosso,HAR,5.0,SUPERSOFT,2,108275000000,3.0,True,1,False"
"Toro Rosso,HAR,6.0,SUPERSOFT,2,108985000000,4.0,True,1,True"
"Toro Rosso,HAR,7.0,SUPERSOFT,2,135944000000,5.0,True,26,False"
"Toro Rosso,HAR,8.0,SUPERSOFT,2,130228000000,6.0,True,67,False"
"Toro Rosso,HAR,9.0,SUPERSOFT,2,108424000000,7.0,True,1,True"
"Toro Rosso,HAR,10.0,SUPERSOFT,2,108159000000,8.0,True,1,True"
"Toro Rosso,HAR,11.0,SUPERSOFT,2,108549000000,9.0,True,1,True"
"Toro Rosso,HAR,12.0,SUPERSOFT,2,108253000000,10.0,True,1,True"
"Toro Rosso,HAR,13.0,SUPERSOFT,2,108430000000,11.0,True,1,True"
"Toro Rosso,HAR,14.0,SUPERSOFT,2,107559000000,12.0,True,1,True"
"Toro Rosso,HAR,15.0,SUPERSOFT,2,107894000000,13.0,True,1,True"
"Toro Rosso,HAR,16.0,SUPERSOFT,2,109007000000,14.0,True,1,True"
"Toro Rosso,HAR,17.0,SUPERSOFT,2,107358000000,15.0,True,1,True"
"Toro Rosso,HAR,18.0,SUPERSOFT,2,107383000000,16.0,True,1,True"
"Toro Rosso,HAR,19.0,SUPERSOFT,2,106629000000,17.0,True,1,True"
"Toro Rosso,HAR,20.0,SUPERSOFT,2,107048000000,18.0,True,1,True"
"Toro Rosso,HAR,21.0,SUPERSOFT,2,107349000000,19.0,True,1,True"
"Toro Rosso,HAR,22.0,SUPERSOFT,2,108317000000,20.0,True,1,True"
"Toro Rosso,HAR,23.0,SUPERSOFT,2,108196000000,21.0,True,1,True"
"Toro Rosso,HAR,24.0,SUPERSOFT,2,107741000000,22.0,True,1,True"
"Toro Rosso,HAR,25.0,SUPERSOFT,2,107346000000,23.0,True,1,True"
"Toro Rosso,HAR,26.0,SUPERSOFT,2,107120000000,24.0,True,1,True"
"Toro Rosso,HAR,27.0,SUPERSOFT,2,106726000000,25.0,True,1,True"
"Toro Rosso,HAR,28.0,SUPERSOFT,2,106429000000,26.0,True,1,True"
"Toro Rosso,HAR,29.0,SUPERSOFT,2,105846000000,27.0,True,1,True"
"Toro Rosso,HAR,30.0,SUPERSOFT,2,106477000000,28.0,True,1,True"
"Toro Rosso,HAR,31.0,SUPERSOFT,2,106868000000,29.0,True,1,True"
"Toro Rosso,HAR,32.0,SUPERSOFT,2,107072000000,30.0,True,1,True"
"Toro Rosso,HAR,33.0,SUPERSOFT,2,107261000000,31.0,True,1,True"
"Toro Rosso,HAR,34.0,SUPERSOFT,2,107842000000,32.0,True,1,True"
"Toro Rosso,HAR,35.0,SUPERSOFT,2,107001000000,33.0,True,1,True"
"Toro Rosso,HAR,36.0,SUPERSOFT,2,105608000000,34.0,True,1,True"
"Toro Rosso,HAR,37.0,SUPERSOFT,2,105640000000,35.0,True,1,True"
"Toro Rosso,HAR,38.0,SUPERSOFT,2,107565000000,36.0,True,1,True"
"Toro Rosso,HAR,39.0,SUPERSOFT,2,105348000000,37.0,True,1,True"
"Toro Rosso,HAR,40.0,SUPERSOFT,2,107666000000,38.0,True,1,True"
"Toro Rosso,HAR,41.0,SUPERSOFT,2,108142000000,39.0,True,1,True"
"Toro Rosso,HAR,42.0,SUPERSOFT,2,105161000000,40.0,True,1,True"
"Toro Rosso,HAR,43.0,SUPERSOFT,2,104633000000,41.0,True,1,True"
"Toro Rosso,HAR,44.0,SUPERSOFT,2,105218000000,42.0,True,1,True"
"Toro Rosso,HAR,45.0,SUPERSOFT,2,105423000000,43.0,True,1,True"
"Toro Rosso,HAR,46.0,SUPERSOFT,2,106339000000,44.0,True,1,True"
"Toro Rosso,HAR,47.0,SUPERSOFT,2,106148000000,45.0,True,2,True"
"Toro Rosso,HAR,48.0,SUPERSOFT,2,105895000000,46.0,True,2,True"
"Toro Rosso,HAR,49.0,SUPERSOFT,2,105099000000,47.0,True,1,True"
"Toro Rosso,HAR,50.0,SUPERSOFT,2,104826000000,48.0,True,1,True"
"Toro Rosso,HAR,51.0,SUPERSOFT,2,106082000000,49.0,True,1,True"
"Toro Rosso,HAR,52.0,SUPERSOFT,2,104747000000,50.0,True,1,True"
"Toro Rosso,HAR,53.0,SUPERSOFT,2,104174000000,51.0,True,1,True"
"Toro Rosso,HAR,54.0,SUPERSOFT,2,104708000000,52.0,True,1,True"
