"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Sauber,LEC,2.0,HYPERSOFT,1,None,5.0,False,4,False"
"Sauber,LEC,3.0,HYPERSOFT,1,None,6.0,False,4,False"
"Sauber,LEC,4.0,HYPERSOFT,1,None,7.0,False,4,False"
"Sauber,LEC,5.0,HYPERSOFT,1,105931000000,8.0,False,1,False"
"Sauber,LEC,6.0,HYPERSOFT,1,106335000000,9.0,False,1,True"
"Sauber,LEC,7.0,HYPERSOFT,1,131538000000,10.0,False,26,False"
"Sauber,LEC,8.0,SUPERSOFT,2,146003000000,1.0,True,67,False"
"Sauber,LEC,9.0,SUPERSOFT,2,106305000000,2.0,True,1,True"
"Sauber,LEC,10.0,SUPERSOFT,2,106556000000,3.0,True,1,True"
"Sauber,LEC,11.0,SUPERSOFT,2,107613000000,4.0,True,1,True"
"Sauber,LEC,12.0,SUPERSOFT,2,107112000000,5.0,True,1,True"
"Sauber,LEC,13.0,SUPERSOFT,2,107440000000,6.0,True,1,True"
"Sauber,LEC,14.0,SUPERSOFT,2,107562000000,7.0,True,1,True"
"Sauber,LEC,15.0,SUPERSOFT,2,108199000000,8.0,True,1,True"
"Sauber,LEC,16.0,SUPERSOFT,2,108006000000,9.0,True,1,True"
"Sauber,LEC,17.0,SUPERSOFT,2,107931000000,10.0,True,1,True"
"Sauber,LEC,18.0,SUPERSOFT,2,107795000000,11.0,True,1,True"
"Sauber,LEC,19.0,SUPERSOFT,2,107643000000,12.0,True,1,True"
"Sauber,LEC,20.0,SUPERSOFT,2,107304000000,13.0,True,1,True"
"Sauber,LEC,21.0,SUPERSOFT,2,106944000000,14.0,True,1,True"
"Sauber,LEC,22.0,SUPERSOFT,2,106627000000,15.0,True,1,True"
"Sauber,LEC,23.0,SUPERSOFT,2,106285000000,16.0,True,1,True"
"Sauber,LEC,24.0,SUPERSOFT,2,106585000000,17.0,True,1,True"
"Sauber,LEC,25.0,SUPERSOFT,2,107562000000,18.0,True,1,True"
"Sauber,LEC,26.0,SUPERSOFT,2,106676000000,19.0,True,1,True"
"Sauber,LEC,27.0,SUPERSOFT,2,106792000000,20.0,True,1,True"
"Sauber,LEC,28.0,SUPERSOFT,2,105027000000,21.0,True,1,True"
"Sauber,LEC,29.0,SUPERSOFT,2,104869000000,22.0,True,1,True"
"Sauber,LEC,30.0,SUPERSOFT,2,104382000000,23.0,True,1,True"
"Sauber,LEC,31.0,SUPERSOFT,2,104715000000,24.0,True,1,True"
"Sauber,LEC,32.0,SUPERSOFT,2,104249000000,25.0,True,1,True"
"Sauber,LEC,33.0,SUPERSOFT,2,103792000000,26.0,True,1,True"
"Sauber,LEC,34.0,SUPERSOFT,2,104476000000,27.0,True,1,True"
"Sauber,LEC,35.0,SUPERSOFT,2,104510000000,28.0,True,1,True"
"Sauber,LEC,36.0,SUPERSOFT,2,104834000000,29.0,True,1,True"
"Sauber,LEC,37.0,SUPERSOFT,2,104281000000,30.0,True,1,True"
"Sauber,LEC,38.0,SUPERSOFT,2,105207000000,31.0,True,1,True"
"Sauber,LEC,39.0,SUPERSOFT,2,104975000000,32.0,True,1,True"
"Sauber,LEC,40.0,SUPERSOFT,2,104355000000,33.0,True,1,True"
"Sauber,LEC,41.0,SUPERSOFT,2,103955000000,34.0,True,1,True"
"Sauber,LEC,42.0,SUPERSOFT,2,103800000000,35.0,True,1,True"
"Sauber,LEC,43.0,SUPERSOFT,2,103783000000,36.0,True,1,True"
"Sauber,LEC,44.0,SUPERSOFT,2,103521000000,37.0,True,1,True"
"Sauber,LEC,45.0,SUPERSOFT,2,103957000000,38.0,True,1,True"
"Sauber,LEC,46.0,SUPERSOFT,2,105420000000,39.0,True,1,True"
"Sauber,LEC,47.0,SUPERSOFT,2,104795000000,40.0,True,1,True"
"Sauber,LEC,48.0,SUPERSOFT,2,104296000000,41.0,True,2,True"
"Sauber,LEC,49.0,SUPERSOFT,2,104207000000,42.0,True,2,True"
"Sauber,LEC,50.0,SUPERSOFT,2,103713000000,43.0,True,1,True"
"Sauber,LEC,51.0,SUPERSOFT,2,103579000000,44.0,True,1,True"
"Sauber,LEC,52.0,SUPERSOFT,2,103510000000,45.0,True,1,True"
"Sauber,LEC,53.0,SUPERSOFT,2,103025000000,46.0,True,1,True"
"Sauber,LEC,54.0,SUPERSOFT,2,102876000000,47.0,True,1,True"
"Sauber,LEC,55.0,SUPERSOFT,2,103723000000,48.0,True,1,True"
