"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Haas F1 Team,MAG,2.0,SUPERSOFT,1,None,2.0,True,4,False"
"Haas F1 Team,MAG,3.0,SUPERSOFT,1,None,3.0,True,4,False"
"Haas F1 Team,MAG,4.0,SUPERSOFT,1,None,4.0,True,4,False"
"Haas F1 Team,MAG,5.0,SUPERSOFT,1,108778000000,5.0,True,1,False"
"Haas F1 Team,MAG,6.0,SUPERSOFT,1,108618000000,6.0,True,1,True"
"Haas F1 Team,MAG,7.0,SUPERSOFT,1,135634000000,7.0,True,26,False"
"Haas F1 Team,MAG,8.0,SUPERSOFT,1,129753000000,8.0,True,67,False"
"Haas F1 Team,MAG,9.0,SUPERSOFT,1,107010000000,9.0,True,1,True"
"Haas F1 Team,MAG,10.0,SUPERSOFT,1,108250000000,10.0,True,1,True"
"Haas F1 Team,MAG,11.0,SUPERSOFT,1,107849000000,11.0,True,1,True"
"Haas F1 Team,MAG,12.0,SUPERSOFT,1,107603000000,12.0,True,1,True"
"Haas F1 Team,MAG,13.0,SUPERSOFT,1,107559000000,13.0,True,1,True"
"Haas F1 Team,MAG,14.0,SUPERSOFT,1,107798000000,14.0,True,1,True"
"Haas F1 Team,MAG,15.0,SUPERSOFT,1,107694000000,15.0,True,1,True"
"Haas F1 Team,MAG,16.0,SUPERSOFT,1,107721000000,16.0,True,1,True"
"Haas F1 Team,MAG,17.0,SUPERSOFT,1,108017000000,17.0,True,1,True"
"Haas F1 Team,MAG,18.0,SUPERSOFT,1,107762000000,18.0,True,1,True"
"Haas F1 Team,MAG,19.0,SUPERSOFT,1,107735000000,19.0,True,1,True"
"Haas F1 Team,MAG,20.0,SUPERSOFT,1,107378000000,20.0,True,1,True"
"Haas F1 Team,MAG,21.0,SUPERSOFT,1,107035000000,21.0,True,1,True"
"Haas F1 Team,MAG,22.0,SUPERSOFT,1,107011000000,22.0,True,1,True"
"Haas F1 Team,MAG,23.0,SUPERSOFT,1,106418000000,23.0,True,1,True"
"Haas F1 Team,MAG,24.0,SUPERSOFT,1,107281000000,24.0,True,1,True"
"Haas F1 Team,MAG,25.0,SUPERSOFT,1,107609000000,25.0,True,1,True"
"Haas F1 Team,MAG,26.0,SUPERSOFT,1,107402000000,26.0,True,1,True"
"Haas F1 Team,MAG,27.0,SUPERSOFT,1,107599000000,27.0,True,1,True"
"Haas F1 Team,MAG,28.0,SUPERSOFT,1,105396000000,28.0,True,1,True"
"Haas F1 Team,MAG,29.0,SUPERSOFT,1,105132000000,29.0,True,1,True"
"Haas F1 Team,MAG,30.0,SUPERSOFT,1,104714000000,30.0,True,1,True"
"Haas F1 Team,MAG,31.0,SUPERSOFT,1,104965000000,31.0,True,1,True"
"Haas F1 Team,MAG,32.0,SUPERSOFT,1,104863000000,32.0,True,1,True"
"Haas F1 Team,MAG,33.0,SUPERSOFT,1,105094000000,33.0,True,1,True"
"Haas F1 Team,MAG,34.0,SUPERSOFT,1,104704000000,34.0,True,1,True"
"Haas F1 Team,MAG,35.0,SUPERSOFT,1,105487000000,35.0,True,1,True"
"Haas F1 Team,MAG,36.0,SUPERSOFT,1,104832000000,36.0,True,1,True"
"Haas F1 Team,MAG,37.0,SUPERSOFT,1,104763000000,37.0,True,1,True"
"Haas F1 Team,MAG,38.0,SUPERSOFT,1,104915000000,38.0,True,1,True"
"Haas F1 Team,MAG,39.0,SUPERSOFT,1,105112000000,39.0,True,1,True"
"Haas F1 Team,MAG,40.0,SUPERSOFT,1,104967000000,40.0,True,1,True"
"Haas F1 Team,MAG,41.0,SUPERSOFT,1,106505000000,41.0,True,1,False"
"Haas F1 Team,MAG,42.0,ULTRASOFT,2,123475000000,1.0,True,1,False"
"Haas F1 Team,MAG,43.0,ULTRASOFT,2,103786000000,2.0,True,1,True"
"Haas F1 Team,MAG,44.0,ULTRASOFT,2,103828000000,3.0,True,1,True"
"Haas F1 Team,MAG,45.0,ULTRASOFT,2,105513000000,4.0,True,1,True"
"Haas F1 Team,MAG,46.0,ULTRASOFT,2,107521000000,5.0,True,1,True"
"Haas F1 Team,MAG,47.0,ULTRASOFT,2,105528000000,6.0,True,2,True"
"Haas F1 Team,MAG,48.0,ULTRASOFT,2,105296000000,7.0,True,2,True"
"Haas F1 Team,MAG,49.0,ULTRASOFT,2,104473000000,8.0,True,1,True"
"Haas F1 Team,MAG,50.0,ULTRASOFT,2,103593000000,9.0,True,1,True"
"Haas F1 Team,MAG,51.0,ULTRASOFT,2,103837000000,10.0,True,1,True"
"Haas F1 Team,MAG,52.0,ULTRASOFT,2,103400000000,11.0,True,1,True"
"Haas F1 Team,MAG,53.0,ULTRASOFT,2,102822000000,12.0,True,1,True"
"Haas F1 Team,MAG,54.0,ULTRASOFT,2,103468000000,13.0,True,1,True"
