"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Red Bull Racing,RIC,2.0,ULTRASOFT,1,None,6.0,False,4,False"
"Red Bull Racing,RIC,3.0,ULTRASOFT,1,None,7.0,False,4,False"
"Red Bull Racing,RIC,4.0,ULTRASOFT,1,None,8.0,False,4,False"
"Red Bull Racing,RIC,5.0,ULTRASOFT,1,106167000000,9.0,False,1,False"
"Red Bull Racing,RIC,6.0,ULTRASOFT,1,107416000000,10.0,False,1,True"
"Red Bull Racing,RIC,7.0,ULTRASOFT,1,132377000000,11.0,False,26,False"
"Red Bull Racing,RIC,8.0,ULTRASOFT,1,132129000000,12.0,False,67,False"
"Red Bull Racing,RIC,9.0,ULTRASOFT,1,103861000000,13.0,False,1,True"
"Red Bull Racing,RIC,10.0,ULTRASOFT,1,104593000000,14.0,False,1,True"
"Red Bull Racing,RIC,11.0,ULTRASOFT,1,104670000000,15.0,False,1,True"
"Red Bull Racing,RIC,12.0,ULTRASOFT,1,104602000000,16.0,False,1,True"
"Red Bull Racing,RIC,13.0,ULTRASOFT,1,105117000000,17.0,False,1,True"
"Red Bull Racing,RIC,14.0,ULTRASOFT,1,104794000000,18.0,False,1,True"
"Red Bull Racing,RIC,15.0,ULTRASOFT,1,105042000000,19.0,False,1,True"
"Red Bull Racing,RIC,16.0,ULTRASOFT,1,104631000000,20.0,False,1,True"
"Red Bull Racing,RIC,17.0,ULTRASOFT,1,104607000000,21.0,False,1,True"
"Red Bull Racing,RIC,18.0,ULTRASOFT,1,104467000000,22.0,False,1,True"
"Red Bull Racing,RIC,19.0,ULTRASOFT,1,104294000000,23.0,False,1,True"
"Red Bull Racing,RIC,20.0,ULTRASOFT,1,104358000000,24.0,False,1,True"
"Red Bull Racing,RIC,21.0,ULTRASOFT,1,103983000000,25.0,False,1,True"
"Red Bull Racing,RIC,22.0,ULTRASOFT,1,103868000000,26.0,False,1,True"
"Red Bull Racing,RIC,23.0,ULTRASOFT,1,103881000000,27.0,False,1,True"
"Red Bull Racing,RIC,24.0,ULTRASOFT,1,105311000000,28.0,False,1,True"
"Red Bull Racing,RIC,25.0,ULTRASOFT,1,105227000000,29.0,False,1,True"
"Red Bull Racing,RIC,26.0,ULTRASOFT,1,104839000000,30.0,False,1,True"
"Red Bull Racing,RIC,27.0,ULTRASOFT,1,106698000000,31.0,False,1,True"
"Red Bull Racing,RIC,28.0,ULTRASOFT,1,104304000000,32.0,False,1,True"
"Red Bull Racing,RIC,29.0,ULTRASOFT,1,103406000000,33.0,False,1,True"
"Red Bull Racing,RIC,30.0,ULTRASOFT,1,103267000000,34.0,False,1,True"
"Red Bull Racing,RIC,31.0,ULTRASOFT,1,103493000000,35.0,False,1,True"
"Red Bull Racing,RIC,32.0,ULTRASOFT,1,103202000000,36.0,False,1,True"
"Red Bull Racing,RIC,33.0,ULTRASOFT,1,104613000000,37.0,False,1,False"
"Red Bull Racing,RIC,34.0,SUPERSOFT,2,121418000000,1.0,True,1,False"
"Red Bull Racing,RIC,35.0,SUPERSOFT,2,101249000000,2.0,True,1,True"
"Red Bull Racing,RIC,36.0,SUPERSOFT,2,102691000000,3.0,True,1,True"
"Red Bull Racing,RIC,37.0,SUPERSOFT,2,102945000000,4.0,True,1,True"
"Red Bull Racing,RIC,38.0,SUPERSOFT,2,104590000000,5.0,True,1,True"
"Red Bull Racing,RIC,39.0,SUPERSOFT,2,103206000000,6.0,True,1,True"
"Red Bull Racing,RIC,40.0,SUPERSOFT,2,102492000000,7.0,True,1,True"
"Red Bull Racing,RIC,41.0,SUPERSOFT,2,101895000000,8.0,True,1,True"
"Red Bull Racing,RIC,42.0,SUPERSOFT,2,102428000000,9.0,True,1,True"
"Red Bull Racing,RIC,43.0,SUPERSOFT,2,101920000000,10.0,True,1,True"
"Red Bull Racing,RIC,44.0,SUPERSOFT,2,102412000000,11.0,True,1,True"
"Red Bull Racing,RIC,45.0,SUPERSOFT,2,102336000000,12.0,True,1,True"
"Red Bull Racing,RIC,46.0,SUPERSOFT,2,102622000000,13.0,True,1,True"
"Red Bull Racing,RIC,47.0,SUPERSOFT,2,103432000000,14.0,True,1,True"
"Red Bull Racing,RIC,48.0,SUPERSOFT,2,104245000000,15.0,True,2,True"
"Red Bull Racing,RIC,49.0,SUPERSOFT,2,103260000000,16.0,True,2,True"
"Red Bull Racing,RIC,50.0,SUPERSOFT,2,102294000000,17.0,True,1,True"
"Red Bull Racing,RIC,51.0,SUPERSOFT,2,102252000000,18.0,True,1,True"
"Red Bull Racing,RIC,52.0,SUPERSOFT,2,102863000000,19.0,True,1,True"
"Red Bull Racing,RIC,53.0,SUPERSOFT,2,102453000000,20.0,True,1,True"
"Red Bull Racing,RIC,54.0,SUPERSOFT,2,103023000000,21.0,True,1,True"
"Red Bull Racing,RIC,55.0,SUPERSOFT,2,103321000000,22.0,True,1,True"
