"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Renault,SAI,2.0,ULTRASOFT,1,None,2.0,True,4,False"
"Renault,SAI,3.0,ULTRASOFT,1,None,3.0,True,4,False"
"Renault,SAI,4.0,ULTRASOFT,1,None,4.0,True,4,False"
"Renault,SAI,5.0,ULTRASOFT,1,108431000000,5.0,True,1,False"
"Renault,SAI,6.0,ULTRASOFT,1,107847000000,6.0,True,1,True"
"Renault,SAI,7.0,ULTRASOFT,1,136712000000,7.0,True,26,False"
"Renault,SAI,8.0,ULTRASOFT,1,129924000000,8.0,True,67,False"
"Renault,SAI,9.0,ULTRASOFT,1,106167000000,9.0,True,1,True"
"Renault,SAI,10.0,ULTRASOFT,1,107018000000,10.0,True,1,True"
"Renault,SAI,11.0,ULTRASOFT,1,106878000000,11.0,True,1,True"
"Renault,SAI,12.0,ULTRASOFT,1,107026000000,12.0,True,1,True"
"Renault,SAI,13.0,ULTRASOFT,1,107753000000,13.0,True,1,True"
"Renault,SAI,14.0,ULTRASOFT,1,107187000000,14.0,True,1,True"
"Renault,SAI,15.0,ULTRASOFT,1,107368000000,15.0,True,1,True"
"Renault,SAI,16.0,ULTRASOFT,1,107122000000,16.0,True,1,True"
"Renault,SAI,17.0,ULTRASOFT,1,108374000000,17.0,True,1,True"
"Renault,SAI,18.0,ULTRASOFT,1,106669000000,18.0,True,1,True"
"Renault,SAI,19.0,ULTRASOFT,1,105734000000,19.0,True,1,True"
"Renault,SAI,20.0,ULTRASOFT,1,105928000000,20.0,True,1,True"
"Renault,SAI,21.0,ULTRASOFT,1,105719000000,21.0,True,1,True"
"Renault,SAI,22.0,ULTRASOFT,1,105334000000,22.0,True,1,True"
"Renault,SAI,23.0,ULTRASOFT,1,105185000000,23.0,True,1,True"
"Renault,SAI,24.0,ULTRASOFT,1,105730000000,24.0,True,1,True"
"Renault,SAI,25.0,ULTRASOFT,1,106126000000,25.0,True,1,True"
"Renault,SAI,26.0,ULTRASOFT,1,106351000000,26.0,True,1,True"
"Renault,SAI,27.0,ULTRASOFT,1,105693000000,27.0,True,1,True"
"Renault,SAI,28.0,ULTRASOFT,1,104124000000,28.0,True,1,True"
"Renault,SAI,29.0,ULTRASOFT,1,103945000000,29.0,True,1,False"
"Renault,SAI,30.0,ULTRASOFT,1,103668000000,30.0,True,1,True"
"Renault,SAI,31.0,ULTRASOFT,1,103818000000,31.0,True,1,True"
"Renault,SAI,32.0,ULTRASOFT,1,103760000000,32.0,True,1,True"
"Renault,SAI,33.0,ULTRASOFT,1,103540000000,33.0,True,1,True"
"Renault,SAI,34.0,ULTRASOFT,1,103852000000,34.0,True,1,True"
"Renault,SAI,35.0,ULTRASOFT,1,103807000000,35.0,True,1,True"
"Renault,SAI,36.0,ULTRASOFT,1,104267000000,36.0,True,1,True"
"Renault,SAI,37.0,ULTRASOFT,1,106098000000,37.0,True,1,False"
"Renault,SAI,38.0,SUPERSOFT,2,123274000000,1.0,True,1,False"
"Renault,SAI,39.0,SUPERSOFT,2,103228000000,2.0,True,1,True"
"Renault,SAI,40.0,SUPERSOFT,2,103277000000,3.0,True,1,True"
"Renault,SAI,41.0,SUPERSOFT,2,102983000000,4.0,True,1,True"
"Renault,SAI,42.0,SUPERSOFT,2,102184000000,5.0,True,1,True"
"Renault,SAI,43.0,SUPERSOFT,2,102938000000,6.0,True,1,True"
"Renault,SAI,44.0,SUPERSOFT,2,103346000000,7.0,True,1,True"
"Renault,SAI,45.0,SUPERSOFT,2,103817000000,8.0,True,1,True"
"Renault,SAI,46.0,SUPERSOFT,2,104497000000,9.0,True,1,True"
"Renault,SAI,47.0,SUPERSOFT,2,103517000000,10.0,True,1,True"
"Renault,SAI,48.0,SUPERSOFT,2,104426000000,11.0,True,2,True"
"Renault,SAI,49.0,SUPERSOFT,2,103719000000,12.0,True,2,True"
"Renault,SAI,50.0,SUPERSOFT,2,102680000000,13.0,True,1,True"
"Renault,SAI,51.0,SUPERSOFT,2,103519000000,14.0,True,1,True"
"Renault,SAI,52.0,SUPERSOFT,2,102735000000,15.0,True,1,True"
"Renault,SAI,53.0,SUPERSOFT,2,101539000000,16.0,True,1,True"
"Renault,SAI,54.0,SUPERSOFT,2,101351000000,17.0,True,1,True"
"Renault,SAI,55.0,SUPERSOFT,2,103131000000,18.0,True,1,True"
