"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Toro Rosso,HAR,2,SOFT,2.0,97241000000,1.0,True,1,False"
"Toro Rosso,HAR,3,SOFT,2.0,90888000000,2.0,True,1,True"
"Toro Rosso,HAR,4,SOFT,2.0,91182000000,3.0,True,1,True"
"Toro Rosso,HAR,5,SOFT,2.0,91481000000,4.0,True,2,True"
"Toro Rosso,HAR,6,SOFT,2.0,92111000000,5.0,True,2,True"
"Toro Rosso,HAR,7,SOFT,2.0,91597000000,6.0,True,2,True"
"Toro Rosso,HAR,8,SOFT,2.0,91160000000,7.0,True,1,True"
"Toro Rosso,HAR,9,SOFT,2.0,91047000000,8.0,True,2,True"
"Toro Rosso,HAR,10,SOFT,2.0,91053000000,9.0,True,1,True"
"Toro Rosso,HAR,11,SOFT,2.0,91018000000,10.0,True,1,True"
"Toro Rosso,HAR,12,SOFT,2.0,91248000000,11.0,True,1,True"
"Toro Rosso,HAR,13,SOFT,2.0,91441000000,12.0,True,1,True"
"Toro Rosso,HAR,14,SOFT,2.0,91228000000,13.0,True,1,True"
"Toro Rosso,HAR,15,SOFT,2.0,91200000000,14.0,True,1,True"
"Toro Rosso,HAR,16,SOFT,2.0,90939000000,15.0,True,1,True"
"Toro Rosso,HAR,17,SOFT,2.0,90955000000,16.0,True,1,True"
"Toro Rosso,HAR,18,SOFT,2.0,91041000000,17.0,True,1,True"
"Toro Rosso,HAR,19,SOFT,2.0,91105000000,18.0,True,1,True"
"Toro Rosso,HAR,20,SOFT,2.0,90885000000,19.0,True,1,True"
"Toro Rosso,HAR,21,SOFT,2.0,91803000000,20.0,True,1,True"
"Toro Rosso,HAR,22,SOFT,2.0,121527000000,21.0,True,2,False"
"Toro Rosso,HAR,23,SOFT,2.0,98833000000,22.0,True,2,False"
"Toro Rosso,HAR,24,SOFT,2.0,89513000000,23.0,True,2,True"
"Toro Rosso,HAR,25,ULTRASOFT,3.0,124565000000,1.0,True,26,False"
"Toro Rosso,HAR,26,ULTRASOFT,3.0,123747000000,2.0,True,64,False"
"Toro Rosso,HAR,27,ULTRASOFT,3.0,124405000000,3.0,True,4,False"
"Toro Rosso,HAR,28,ULTRASOFT,3.0,124593000000,4.0,True,4,False"
"Toro Rosso,HAR,29,ULTRASOFT,3.0,111634000000,5.0,True,4,False"
"Toro Rosso,HAR,30,ULTRASOFT,3.0,92869000000,6.0,True,4,False"
"Toro Rosso,HAR,31,ULTRASOFT,3.0,91737000000,7.0,True,4,False"
"Toro Rosso,HAR,32,ULTRASOFT,3.0,90720000000,8.0,True,1,False"
"Toro Rosso,HAR,33,ULTRASOFT,3.0,91311000000,9.0,True,1,True"
"Toro Rosso,HAR,34,ULTRASOFT,3.0,90687000000,10.0,True,1,True"
"Toro Rosso,HAR,35,ULTRASOFT,3.0,90592000000,11.0,True,1,True"
"Toro Rosso,HAR,36,ULTRASOFT,3.0,90434000000,12.0,True,1,True"
"Toro Rosso,HAR,37,ULTRASOFT,3.0,90289000000,13.0,True,1,True"
"Toro Rosso,HAR,38,ULTRASOFT,3.0,90088000000,14.0,True,1,True"
"Toro Rosso,HAR,39,ULTRASOFT,3.0,89676000000,15.0,True,1,True"
"Toro Rosso,HAR,40,ULTRASOFT,3.0,90010000000,16.0,True,1,True"
"Toro Rosso,HAR,41,ULTRASOFT,3.0,89928000000,17.0,True,1,True"
"Toro Rosso,HAR,42,ULTRASOFT,3.0,89867000000,18.0,True,1,True"
"Toro Rosso,HAR,43,ULTRASOFT,3.0,89756000000,19.0,True,1,True"
"Toro Rosso,HAR,44,ULTRASOFT,3.0,89400000000,20.0,True,1,True"
"Toro Rosso,HAR,45,ULTRASOFT,3.0,89347000000,21.0,True,1,True"
"Toro Rosso,HAR,46,ULTRASOFT,3.0,89353000000,22.0,True,1,True"
"Toro Rosso,HAR,47,ULTRASOFT,3.0,89360000000,23.0,True,1,True"
"Toro Rosso,HAR,48,ULTRASOFT,3.0,93670000000,24.0,True,1,True"
"Toro Rosso,HAR,49,ULTRASOFT,3.0,90014000000,25.0,True,1,True"
"Toro Rosso,HAR,50,ULTRASOFT,3.0,92205000000,26.0,True,1,True"
"Toro Rosso,HAR,51,ULTRASOFT,3.0,89193000000,27.0,True,1,True"
"Toro Rosso,HAR,52,ULTRASOFT,3.0,88681000000,28.0,True,1,True"
"Toro Rosso,HAR,53,ULTRASOFT,3.0,88298000000,29.0,True,1,True"
"Toro Rosso,HAR,54,ULTRASOFT,3.0,88255000000,30.0,True,1,True"
"Toro Rosso,HAR,55,ULTRASOFT,3.0,88326000000,31.0,True,1,True"
"Toro Rosso,HAR,56,ULTRASOFT,3.0,88493000000,32.0,True,1,True"
"Toro Rosso,HAR,57,ULTRASOFT,3.0,88176000000,33.0,True,1,True"
