"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Haas F1 Team,MAG,2,ULTRASOFT,1.0,90830000000,4.0,False,1,True"
"Haas F1 Team,MAG,3,ULTRASOFT,1.0,91235000000,5.0,False,1,True"
"Haas F1 Team,MAG,4,ULTRASOFT,1.0,90547000000,6.0,False,1,True"
"Haas F1 Team,MAG,5,ULTRASOFT,1.0,90518000000,7.0,False,2,True"
"Haas F1 Team,MAG,6,ULTRASOFT,1.0,90984000000,8.0,False,2,True"
"Haas F1 Team,MAG,7,ULTRASOFT,1.0,90577000000,9.0,False,2,True"
"Haas F1 Team,MAG,8,ULTRASOFT,1.0,90252000000,10.0,False,1,True"
"Haas F1 Team,MAG,9,ULTRASOFT,1.0,90445000000,11.0,False,1,True"
"Haas F1 Team,MAG,10,ULTRASOFT,1.0,90610000000,12.0,False,2,True"
"Haas F1 Team,MAG,11,ULTRASOFT,1.0,90500000000,13.0,False,1,True"
"Haas F1 Team,MAG,12,ULTRASOFT,1.0,90050000000,14.0,False,1,True"
"Haas F1 Team,MAG,13,ULTRASOFT,1.0,90115000000,15.0,False,1,True"
"Haas F1 Team,MAG,14,ULTRASOFT,1.0,90118000000,16.0,False,1,True"
"Haas F1 Team,MAG,15,ULTRASOFT,1.0,90104000000,17.0,False,1,True"
"Haas F1 Team,MAG,16,ULTRASOFT,1.0,89852000000,18.0,False,1,True"
"Haas F1 Team,MAG,17,ULTRASOFT,1.0,90446000000,19.0,False,1,True"
"Haas F1 Team,MAG,18,ULTRASOFT,1.0,90042000000,20.0,False,1,True"
"Haas F1 Team,MAG,19,ULTRASOFT,1.0,90391000000,21.0,False,1,True"
"Haas F1 Team,MAG,20,ULTRASOFT,1.0,89820000000,22.0,False,1,True"
"Haas F1 Team,MAG,21,ULTRASOFT,1.0,89534000000,23.0,False,1,True"
"Haas F1 Team,MAG,22,ULTRASOFT,1.0,107390000000,24.0,False,1,False"
