"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Force India,OCO,2,ULTRASOFT,1.0,92955000000,1.0,True,1,True"
"Force India,OCO,3,ULTRASOFT,1.0,92581000000,2.0,True,1,True"
"Force India,OCO,4,ULTRASOFT,1.0,91912000000,3.0,True,1,True"
"Force India,OCO,5,ULTRASOFT,1.0,91337000000,4.0,True,2,True"
"Force India,OCO,6,ULTRASOFT,1.0,91906000000,5.0,True,2,True"
"Force India,OCO,7,ULTRASOFT,1.0,91559000000,6.0,True,2,True"
"Force India,OCO,8,ULTRASOFT,1.0,91556000000,7.0,True,1,True"
"Force India,OCO,9,ULTRASOFT,1.0,92583000000,8.0,True,2,True"
"Force India,OCO,10,ULTRASOFT,1.0,91446000000,9.0,True,1,True"
"Force India,OCO,11,ULTRASOFT,1.0,90968000000,10.0,True,1,True"
"Force India,OCO,12,ULTRASOFT,1.0,90647000000,11.0,True,1,True"
"Force India,OCO,13,ULTRASOFT,1.0,90587000000,12.0,True,1,True"
"Force India,OCO,14,ULTRASOFT,1.0,90520000000,13.0,True,1,True"
"Force India,OCO,15,ULTRASOFT,1.0,90626000000,14.0,True,1,True"
"Force India,OCO,16,ULTRASOFT,1.0,90720000000,15.0,True,1,True"
"Force India,OCO,17,ULTRASOFT,1.0,90619000000,16.0,True,1,True"
"Force India,OCO,18,ULTRASOFT,1.0,90604000000,17.0,True,1,True"
"Force India,OCO,19,ULTRASOFT,1.0,90551000000,18.0,True,1,True"
"Force India,OCO,20,ULTRASOFT,1.0,90231000000,19.0,True,1,True"
"Force India,OCO,21,ULTRASOFT,1.0,90165000000,20.0,True,1,True"
"Force India,OCO,22,ULTRASOFT,1.0,90709000000,21.0,True,1,True"
"Force India,OCO,23,ULTRASOFT,1.0,107849000000,22.0,True,2,False"
"Force India,OCO,24,SOFT,2.0,94226000000,1.0,True,2,False"
"Force India,OCO,25,SOFT,2.0,105901000000,2.0,True,26,False"
"Force India,OCO,26,SOFT,2.0,124185000000,3.0,True,6,False"
"Force India,OCO,27,SOFT,2.0,124514000000,4.0,True,64,False"
"Force India,OCO,28,SOFT,2.0,121686000000,5.0,True,4,False"
"Force India,OCO,29,SOFT,2.0,95860000000,6.0,True,4,False"
"Force India,OCO,30,SOFT,2.0,110723000000,7.0,True,4,False"
"Force India,OCO,31,SOFT,2.0,123930000000,8.0,True,4,False"
"Force India,OCO,32,SOFT,2.0,92448000000,9.0,True,1,False"
"Force India,OCO,33,SOFT,2.0,90518000000,10.0,True,1,True"
"Force India,OCO,34,SOFT,2.0,90298000000,11.0,True,1,True"
"Force India,OCO,35,SOFT,2.0,90032000000,12.0,True,1,True"
"Force India,OCO,36,SOFT,2.0,89387000000,13.0,True,1,True"
"Force India,OCO,37,SOFT,2.0,89198000000,14.0,True,1,True"
"Force India,OCO,38,SOFT,2.0,88747000000,15.0,True,1,True"
"Force India,OCO,39,SOFT,2.0,88848000000,16.0,True,1,True"
"Force India,OCO,40,SOFT,2.0,88600000000,17.0,True,1,True"
"Force India,OCO,41,SOFT,2.0,88661000000,18.0,True,1,True"
"Force India,OCO,42,SOFT,2.0,88582000000,19.0,True,1,True"
"Force India,OCO,43,SOFT,2.0,88534000000,20.0,True,1,True"
"Force India,OCO,44,SOFT,2.0,88816000000,21.0,True,1,True"
"Force India,OCO,45,SOFT,2.0,88616000000,22.0,True,1,True"
"Force India,OCO,46,SOFT,2.0,89304000000,23.0,True,1,True"
"Force India,OCO,47,SOFT,2.0,88926000000,24.0,True,1,True"
"Force India,OCO,48,SOFT,2.0,88626000000,25.0,True,1,True"
"Force India,OCO,49,SOFT,2.0,88664000000,26.0,True,1,True"
"Force India,OCO,50,SOFT,2.0,88407000000,27.0,True,1,True"
"Force India,OCO,51,SOFT,2.0,88412000000,28.0,True,1,True"
"Force India,OCO,52,SOFT,2.0,88572000000,29.0,True,1,True"
"Force India,OCO,53,SOFT,2.0,88120000000,30.0,True,1,True"
"Force India,OCO,54,SOFT,2.0,88534000000,31.0,True,1,True"
"Force India,OCO,55,SOFT,2.0,88232000000,32.0,True,1,True"
"Force India,OCO,56,SOFT,2.0,87969000000,33.0,True,1,True"
"Force India,OCO,57,SOFT,2.0,87600000000,34.0,True,1,True"
"Force India,OCO,58,SOFT,2.0,94348000000,35.0,True,1,True"
