"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Force India,PER,2,ULTRASOFT,1.0,92896000000,1.0,True,1,True"
"Force India,PER,3,ULTRASOFT,1.0,92004000000,2.0,True,1,True"
"Force India,PER,4,ULTRASOFT,1.0,91372000000,3.0,True,1,True"
"Force India,PER,5,ULTRASOFT,1.0,91160000000,4.0,True,2,True"
"Force India,PER,6,ULTRASOFT,1.0,91558000000,5.0,True,2,True"
"Force India,PER,7,ULTRASOFT,1.0,91838000000,6.0,True,2,True"
"Force India,PER,8,ULTRASOFT,1.0,90922000000,7.0,True,1,True"
"Force India,PER,9,ULTRASOFT,1.0,90859000000,8.0,True,2,True"
"Force India,PER,10,ULTRASOFT,1.0,90922000000,9.0,True,1,True"
"Force India,PER,11,ULTRASOFT,1.0,90419000000,10.0,True,1,True"
"Force India,PER,12,ULTRASOFT,1.0,90876000000,11.0,True,1,True"
"Force India,PER,13,ULTRASOFT,1.0,90560000000,12.0,True,1,True"
"Force India,PER,14,ULTRASOFT,1.0,90553000000,13.0,True,1,True"
"Force India,PER,15,ULTRASOFT,1.0,90511000000,14.0,True,1,True"
"Force India,PER,16,ULTRASOFT,1.0,90412000000,15.0,True,1,True"
"Force India,PER,17,ULTRASOFT,1.0,90380000000,16.0,True,1,True"
"Force India,PER,18,ULTRASOFT,1.0,90280000000,17.0,True,1,True"
"Force India,PER,19,ULTRASOFT,1.0,90653000000,18.0,True,1,True"
"Force India,PER,20,ULTRASOFT,1.0,90344000000,19.0,True,1,True"
"Force India,PER,21,ULTRASOFT,1.0,90665000000,20.0,True,1,True"
"Force India,PER,22,ULTRASOFT,1.0,91254000000,21.0,True,1,True"
"Force India,PER,23,ULTRASOFT,1.0,90241000000,22.0,True,2,True"
"Force India,PER,24,ULTRASOFT,1.0,108875000000,23.0,True,2,False"
"Force India,PER,25,SOFT,2.0,110397000000,1.0,True,26,False"
"Force India,PER,26,SOFT,2.0,123659000000,2.0,True,6,False"
"Force India,PER,27,SOFT,2.0,124224000000,3.0,True,64,False"
"Force India,PER,28,SOFT,2.0,121772000000,4.0,True,4,False"
"Force India,PER,29,SOFT,2.0,99003000000,5.0,True,4,False"
"Force India,PER,30,SOFT,2.0,110355000000,6.0,True,4,False"
"Force India,PER,31,SOFT,2.0,124778000000,7.0,True,4,False"
"Force India,PER,32,SOFT,2.0,92302000000,8.0,True,1,False"
"Force India,PER,33,SOFT,2.0,90192000000,9.0,True,1,True"
"Force India,PER,34,SOFT,2.0,90401000000,10.0,True,1,True"
"Force India,PER,35,SOFT,2.0,89421000000,11.0,True,1,True"
"Force India,PER,36,SOFT,2.0,88718000000,12.0,True,1,True"
"Force India,PER,37,SOFT,2.0,89125000000,13.0,True,1,True"
"Force India,PER,38,SOFT,2.0,88509000000,14.0,True,1,True"
"Force India,PER,39,SOFT,2.0,88353000000,15.0,True,1,True"
"Force India,PER,40,SOFT,2.0,88798000000,16.0,True,1,True"
"Force India,PER,41,SOFT,2.0,88286000000,17.0,True,1,True"
"Force India,PER,42,SOFT,2.0,87998000000,18.0,True,1,True"
"Force India,PER,43,SOFT,2.0,88169000000,19.0,True,1,True"
"Force India,PER,44,SOFT,2.0,88283000000,20.0,True,1,True"
"Force India,PER,45,SOFT,2.0,88439000000,21.0,True,1,True"
"Force India,PER,46,SOFT,2.0,88354000000,22.0,True,1,True"
"Force India,PER,47,SOFT,2.0,88282000000,23.0,True,1,True"
"Force India,PER,48,SOFT,2.0,88026000000,24.0,True,1,True"
"Force India,PER,49,SOFT,2.0,88006000000,25.0,True,1,True"
"Force India,PER,50,SOFT,2.0,88079000000,26.0,True,1,True"
"Force India,PER,51,SOFT,2.0,87633000000,27.0,True,1,True"
"Force India,PER,52,SOFT,2.0,88477000000,28.0,True,1,True"
"Force India,PER,53,SOFT,2.0,88381000000,29.0,True,1,True"
"Force India,PER,54,SOFT,2.0,88093000000,30.0,True,1,True"
"Force India,PER,55,SOFT,2.0,88284000000,31.0,True,1,True"
"Force India,PER,56,SOFT,2.0,88338000000,32.0,True,1,True"
"Force India,PER,57,SOFT,2.0,87850000000,33.0,True,1,True"
"Force India,PER,58,SOFT,2.0,89220000000,34.0,True,1,True"
