"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Ferrari,RAI,2,ULTRASOFT,1.0,90266000000,4.0,False,1,True"
"Ferrari,RAI,3,ULTRASOFT,1.0,89856000000,5.0,False,1,True"
"Ferrari,RAI,4,ULTRASOFT,1.0,89550000000,6.0,False,1,True"
"Ferrari,RAI,5,ULTRASOFT,1.0,89740000000,7.0,False,1,True"
"Ferrari,RAI,6,ULTRASOFT,1.0,90432000000,8.0,False,2,True"
"Ferrari,RAI,7,ULTRASOFT,1.0,89944000000,9.0,False,2,True"
"Ferrari,RAI,8,ULTRASOFT,1.0,89593000000,10.0,False,1,True"
"Ferrari,RAI,9,ULTRASOFT,1.0,89003000000,11.0,False,1,True"
"Ferrari,RAI,10,ULTRASOFT,1.0,88906000000,12.0,False,2,True"
"Ferrari,RAI,11,ULTRASOFT,1.0,88485000000,13.0,False,1,True"
"Ferrari,RAI,12,ULTRASOFT,1.0,88817000000,14.0,False,1,True"
"Ferrari,RAI,13,ULTRASOFT,1.0,88429000000,15.0,False,1,True"
"Ferrari,RAI,14,ULTRASOFT,1.0,88313000000,16.0,False,1,True"
"Ferrari,RAI,15,ULTRASOFT,1.0,88457000000,17.0,False,1,True"
"Ferrari,RAI,16,ULTRASOFT,1.0,87982000000,18.0,False,1,True"
"Ferrari,RAI,17,ULTRASOFT,1.0,88216000000,19.0,False,1,True"
"Ferrari,RAI,18,ULTRASOFT,1.0,105858000000,20.0,False,1,False"
"Ferrari,RAI,19,SOFT,2.0,92537000000,1.0,True,1,False"
"Ferrari,RAI,20,SOFT,2.0,88836000000,2.0,True,1,True"
"Ferrari,RAI,21,SOFT,2.0,88763000000,3.0,True,1,True"
"Ferrari,RAI,22,SOFT,2.0,88557000000,4.0,True,1,True"
"Ferrari,RAI,23,SOFT,2.0,88704000000,5.0,True,2,True"
"Ferrari,RAI,24,SOFT,2.0,88465000000,6.0,True,2,True"
"Ferrari,RAI,25,SOFT,2.0,88751000000,7.0,True,2,True"
"Ferrari,RAI,26,SOFT,2.0,119547000000,8.0,True,26,False"
"Ferrari,RAI,27,SOFT,2.0,125438000000,9.0,True,6,False"
"Ferrari,RAI,28,SOFT,2.0,124658000000,10.0,True,64,False"
"Ferrari,RAI,29,SOFT,2.0,127864000000,11.0,True,4,False"
"Ferrari,RAI,30,SOFT,2.0,136138000000,12.0,True,4,False"
"Ferrari,RAI,31,SOFT,2.0,137278000000,13.0,True,4,False"
"Ferrari,RAI,32,SOFT,2.0,88672000000,14.0,True,1,False"
"Ferrari,RAI,33,SOFT,2.0,88082000000,15.0,True,1,True"
"Ferrari,RAI,34,SOFT,2.0,87977000000,16.0,True,1,True"
"Ferrari,RAI,35,SOFT,2.0,87719000000,17.0,True,1,True"
"Ferrari,RAI,36,SOFT,2.0,87466000000,18.0,True,1,True"
"Ferrari,RAI,37,SOFT,2.0,87633000000,19.0,True,1,True"
"Ferrari,RAI,38,SOFT,2.0,87705000000,20.0,True,1,True"
"Ferrari,RAI,39,SOFT,2.0,87406000000,21.0,True,1,True"
"Ferrari,RAI,40,SOFT,2.0,87043000000,22.0,True,1,True"
"Ferrari,RAI,41,SOFT,2.0,87180000000,23.0,True,1,True"
"Ferrari,RAI,42,SOFT,2.0,87115000000,24.0,True,1,True"
"Ferrari,RAI,43,SOFT,2.0,87088000000,25.0,True,1,True"
"Ferrari,RAI,44,SOFT,2.0,87196000000,26.0,True,1,True"
"Ferrari,RAI,45,SOFT,2.0,87044000000,27.0,True,1,True"
"Ferrari,RAI,46,SOFT,2.0,87288000000,28.0,True,1,True"
"Ferrari,RAI,47,SOFT,2.0,87366000000,29.0,True,1,True"
"Ferrari,RAI,48,SOFT,2.0,87008000000,30.0,True,1,True"
"Ferrari,RAI,49,SOFT,2.0,87324000000,31.0,True,1,True"
"Ferrari,RAI,50,SOFT,2.0,87045000000,32.0,True,1,True"
"Ferrari,RAI,51,SOFT,2.0,87396000000,33.0,True,1,True"
"Ferrari,RAI,52,SOFT,2.0,87644000000,34.0,True,1,True"
"Ferrari,RAI,53,SOFT,2.0,86811000000,35.0,True,1,True"
"Ferrari,RAI,54,SOFT,2.0,86804000000,36.0,True,1,True"
"Ferrari,RAI,55,SOFT,2.0,86381000000,37.0,True,1,True"
"Ferrari,RAI,56,SOFT,2.0,86546000000,38.0,True,1,True"
"Ferrari,RAI,57,SOFT,2.0,86373000000,39.0,True,1,True"
"Ferrari,RAI,58,SOFT,2.0,87423000000,40.0,True,1,True"
