"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"McLaren,VAN,2,ULTRASOFT,1.0,92173000000,1.0,True,1,True"
"McLaren,VAN,3,ULTRASOFT,1.0,91560000000,2.0,True,1,True"
"McLaren,VAN,4,ULTRASOFT,1.0,90857000000,3.0,True,1,True"
"McLaren,VAN,5,ULTRASOFT,1.0,91471000000,4.0,True,2,True"
"McLaren,VAN,6,ULTRASOFT,1.0,91963000000,5.0,True,2,True"
"McLaren,VAN,7,ULTRASOFT,1.0,91602000000,6.0,True,2,True"
"McLaren,VAN,8,ULTRASOFT,1.0,91048000000,7.0,True,1,True"
"McLaren,VAN,9,ULTRASOFT,1.0,90948000000,8.0,True,2,True"
"McLaren,VAN,10,ULTRASOFT,1.0,90591000000,9.0,True,2,True"
"McLaren,VAN,11,ULTRASOFT,1.0,90644000000,10.0,True,1,True"
"McLaren,VAN,12,ULTRASOFT,1.0,90807000000,11.0,True,1,True"
"McLaren,VAN,13,ULTRASOFT,1.0,90506000000,12.0,True,1,True"
"McLaren,VAN,14,ULTRASOFT,1.0,90308000000,13.0,True,1,True"
"McLaren,VAN,15,ULTRASOFT,1.0,90557000000,14.0,True,1,True"
"McLaren,VAN,16,ULTRASOFT,1.0,90063000000,15.0,True,1,True"
"McLaren,VAN,17,ULTRASOFT,1.0,90462000000,16.0,True,1,True"
"McLaren,VAN,18,ULTRASOFT,1.0,90176000000,17.0,True,1,True"
"McLaren,VAN,19,ULTRASOFT,1.0,89922000000,18.0,True,1,True"
"McLaren,VAN,20,ULTRASOFT,1.0,89890000000,19.0,True,1,True"
"McLaren,VAN,21,ULTRASOFT,1.0,90439000000,20.0,True,1,True"
"McLaren,VAN,22,ULTRASOFT,1.0,91943000000,21.0,True,1,True"
"McLaren,VAN,23,ULTRASOFT,1.0,89811000000,22.0,True,2,True"
"McLaren,VAN,24,ULTRASOFT,1.0,90471000000,23.0,True,2,True"
"McLaren,VAN,25,ULTRASOFT,1.0,108016000000,24.0,True,26,False"
"McLaren,VAN,26,SUPERSOFT,2.0,127933000000,1.0,True,6,False"
"McLaren,VAN,27,SUPERSOFT,2.0,125572000000,2.0,True,64,False"
"McLaren,VAN,28,SUPERSOFT,2.0,123341000000,3.0,True,4,False"
"McLaren,VAN,29,SUPERSOFT,2.0,103851000000,4.0,True,4,False"
"McLaren,VAN,30,SUPERSOFT,2.0,116005000000,5.0,True,4,False"
"McLaren,VAN,31,SUPERSOFT,2.0,130125000000,6.0,True,4,False"
"McLaren,VAN,32,SUPERSOFT,2.0,91149000000,7.0,True,1,False"
"McLaren,VAN,33,SUPERSOFT,2.0,89575000000,8.0,True,1,True"
"McLaren,VAN,34,SUPERSOFT,2.0,89462000000,9.0,True,1,True"
"McLaren,VAN,35,SUPERSOFT,2.0,90065000000,10.0,True,1,True"
"McLaren,VAN,36,SUPERSOFT,2.0,88532000000,11.0,True,1,True"
"McLaren,VAN,37,SUPERSOFT,2.0,88848000000,12.0,True,1,True"
"McLaren,VAN,38,SUPERSOFT,2.0,88474000000,13.0,True,1,True"
"McLaren,VAN,39,SUPERSOFT,2.0,88257000000,14.0,True,1,True"
"McLaren,VAN,40,SUPERSOFT,2.0,88355000000,15.0,True,1,True"
"McLaren,VAN,41,SUPERSOFT,2.0,87989000000,16.0,True,1,True"
"McLaren,VAN,42,SUPERSOFT,2.0,87838000000,17.0,True,1,True"
"McLaren,VAN,43,SUPERSOFT,2.0,88114000000,18.0,True,1,True"
"McLaren,VAN,44,SUPERSOFT,2.0,88038000000,19.0,True,1,True"
"McLaren,VAN,45,SUPERSOFT,2.0,88404000000,20.0,True,1,True"
"McLaren,VAN,46,SUPERSOFT,2.0,87888000000,21.0,True,1,True"
"McLaren,VAN,47,SUPERSOFT,2.0,87961000000,22.0,True,1,True"
"McLaren,VAN,48,SUPERSOFT,2.0,87778000000,23.0,True,1,True"
"McLaren,VAN,49,SUPERSOFT,2.0,88220000000,24.0,True,1,True"
"McLaren,VAN,50,SUPERSOFT,2.0,87979000000,25.0,True,1,True"
"McLaren,VAN,51,SUPERSOFT,2.0,88126000000,26.0,True,1,True"
"McLaren,VAN,52,SUPERSOFT,2.0,88110000000,27.0,True,1,True"
"McLaren,VAN,53,SUPERSOFT,2.0,87710000000,28.0,True,1,True"
"McLaren,VAN,54,SUPERSOFT,2.0,87220000000,29.0,True,1,True"
"McLaren,VAN,55,SUPERSOFT,2.0,87381000000,30.0,True,1,True"
"McLaren,VAN,56,SUPERSOFT,2.0,87091000000,31.0,True,1,True"
"McLaren,VAN,57,SUPERSOFT,2.0,86958000000,32.0,True,1,True"
"McLaren,VAN,58,SUPERSOFT,2.0,87676000000,33.0,True,1,True"
