"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Force India,PER,2,SUPERSOFT,1.0,73062000000,1.0,True,2,True"
"Force India,PER,3,SUPERSOFT,1.0,71715000000,2.0,True,1,True"
"Force India,PER,4,SUPERSOFT,1.0,71123000000,3.0,True,1,True"
"Force India,PER,5,SUPERSOFT,1.0,71171000000,4.0,True,1,True"
"Force India,PER,6,SUPERSOFT,1.0,70029000000,5.0,True,1,True"
"Force India,PER,7,SUPERSOFT,1.0,70361000000,6.0,True,1,True"
"Force India,PER,8,SUPERSOFT,1.0,70523000000,7.0,True,1,True"
"Force India,PER,9,SUPERSOFT,1.0,70574000000,8.0,True,1,True"
"Force India,PER,10,SUPERSOFT,1.0,70786000000,9.0,True,1,True"
"Force India,PER,11,SUPERSOFT,1.0,70341000000,10.0,True,1,True"
"Force India,PER,12,SUPERSOFT,1.0,70720000000,11.0,True,2,True"
"Force India,PER,13,SUPERSOFT,1.0,70402000000,12.0,True,1,True"
"Force India,PER,14,SUPERSOFT,1.0,70148000000,13.0,True,2,True"
"Force India,PER,15,SUPERSOFT,1.0,97598000000,14.0,True,26,False"
"Force India,PER,16,SUPERSOFT,1.0,76355000000,15.0,True,67,False"
"Force India,PER,17,SUPERSOFT,1.0,69409000000,16.0,True,1,True"
"Force India,PER,18,SUPERSOFT,1.0,69977000000,17.0,True,1,True"
"Force India,PER,19,SUPERSOFT,1.0,70150000000,18.0,True,1,True"
"Force India,PER,20,SUPERSOFT,1.0,70616000000,19.0,True,1,True"
"Force India,PER,21,SUPERSOFT,1.0,69729000000,20.0,True,1,True"
"Force India,PER,22,SUPERSOFT,1.0,69805000000,21.0,True,1,True"
"Force India,PER,23,SUPERSOFT,1.0,69811000000,22.0,True,1,True"
"Force India,PER,24,SUPERSOFT,1.0,69782000000,23.0,True,1,True"
"Force India,PER,25,SUPERSOFT,1.0,69400000000,24.0,True,1,True"
"Force India,PER,26,SUPERSOFT,1.0,69436000000,25.0,True,1,True"
"Force India,PER,27,SUPERSOFT,1.0,72843000000,26.0,True,1,False"
"Force India,PER,28,SOFT,2.0,87041000000,1.0,True,1,False"
"Force India,PER,29,SOFT,2.0,69310000000,2.0,True,1,True"
"Force India,PER,30,SOFT,2.0,69098000000,3.0,True,1,True"
"Force India,PER,31,SOFT,2.0,69291000000,4.0,True,1,True"
"Force India,PER,32,SOFT,2.0,69449000000,5.0,True,1,True"
"Force India,PER,33,SOFT,2.0,69692000000,6.0,True,1,True"
"Force India,PER,34,SOFT,2.0,69338000000,7.0,True,1,True"
"Force India,PER,35,SOFT,2.0,69536000000,8.0,True,1,True"
"Force India,PER,36,SOFT,2.0,69331000000,9.0,True,1,True"
"Force India,PER,37,SOFT,2.0,69545000000,10.0,True,1,True"
"Force India,PER,38,SOFT,2.0,69705000000,11.0,True,1,True"
"Force India,PER,39,SOFT,2.0,69203000000,12.0,True,1,True"
"Force India,PER,40,SOFT,2.0,69605000000,13.0,True,1,True"
"Force India,PER,41,SOFT,2.0,69778000000,14.0,True,1,True"
"Force India,PER,42,SOFT,2.0,69742000000,15.0,True,1,True"
"Force India,PER,43,SOFT,2.0,69702000000,16.0,True,1,True"
"Force India,PER,44,SOFT,2.0,69366000000,17.0,True,1,True"
"Force India,PER,45,SOFT,2.0,69578000000,18.0,True,1,True"
"Force India,PER,46,SOFT,2.0,69424000000,19.0,True,1,True"
"Force India,PER,47,SOFT,2.0,69574000000,20.0,True,1,True"
"Force India,PER,48,SOFT,2.0,71301000000,21.0,True,1,True"
"Force India,PER,49,SOFT,2.0,69150000000,22.0,True,1,True"
"Force India,PER,50,SOFT,2.0,68939000000,23.0,True,1,True"
"Force India,PER,51,SOFT,2.0,68903000000,24.0,True,1,True"
"Force India,PER,52,SOFT,2.0,69256000000,25.0,True,1,True"
"Force India,PER,53,SOFT,2.0,71806000000,26.0,True,2,True"
"Force India,PER,54,SOFT,2.0,69729000000,27.0,True,2,True"
"Force India,PER,55,SOFT,2.0,69018000000,28.0,True,2,True"
"Force India,PER,56,SOFT,2.0,68906000000,29.0,True,2,True"
"Force India,PER,57,SOFT,2.0,68618000000,30.0,True,1,True"
"Force India,PER,58,SOFT,2.0,68829000000,31.0,True,1,True"
"Force India,PER,59,SOFT,2.0,69119000000,32.0,True,1,True"
"Force India,PER,60,SOFT,2.0,68590000000,33.0,True,1,True"
"Force India,PER,61,SOFT,2.0,68845000000,34.0,True,1,True"
"Force India,PER,62,SOFT,2.0,68623000000,35.0,True,2,True"
"Force India,PER,63,SOFT,2.0,68758000000,36.0,True,2,True"
"Force India,PER,64,SOFT,2.0,68547000000,37.0,True,2,True"
"Force India,PER,65,SOFT,2.0,68583000000,38.0,True,1,True"
"Force India,PER,66,SOFT,2.0,68504000000,39.0,True,1,True"
"Force India,PER,67,SOFT,2.0,68992000000,40.0,True,1,True"
"Force India,PER,68,SOFT,2.0,69017000000,41.0,True,1,True"
"Force India,PER,69,SOFT,2.0,69666000000,42.0,True,1,True"
"Force India,PER,70,SOFT,2.0,77214000000,43.0,True,1,True"
