"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Red Bull Racing,RIC,2,SUPERSOFT,1.0,70661000000,4.0,False,2,True"
"Red Bull Racing,RIC,3,SUPERSOFT,1.0,70348000000,5.0,False,1,True"
"Red Bull Racing,RIC,4,SUPERSOFT,1.0,69946000000,6.0,False,1,True"
"Red Bull Racing,RIC,5,SUPERSOFT,1.0,69758000000,7.0,False,1,True"
"Red Bull Racing,RIC,6,SUPERSOFT,1.0,69594000000,8.0,False,1,True"
"Red Bull Racing,RIC,7,SUPERSOFT,1.0,69896000000,9.0,False,1,True"
"Red Bull Racing,RIC,8,SUPERSOFT,1.0,69683000000,10.0,False,1,True"
"Red Bull Racing,RIC,9,SUPERSOFT,1.0,69628000000,11.0,False,1,True"
"Red Bull Racing,RIC,10,SUPERSOFT,1.0,69719000000,12.0,False,1,True"
"Red Bull Racing,RIC,11,SUPERSOFT,1.0,69387000000,13.0,False,1,True"
"Red Bull Racing,RIC,12,SUPERSOFT,1.0,69365000000,14.0,False,2,True"
"Red Bull Racing,RIC,13,SUPERSOFT,1.0,69882000000,15.0,False,2,True"
"Red Bull Racing,RIC,14,SUPERSOFT,1.0,69135000000,16.0,False,2,True"
"Red Bull Racing,RIC,15,SUPERSOFT,1.0,88735000000,17.0,False,26,False"
"Red Bull Racing,RIC,16,SOFT,2.0,93130000000,1.0,True,67,False"
"Red Bull Racing,RIC,17,SOFT,2.0,68228000000,2.0,True,1,True"
"Red Bull Racing,RIC,18,SOFT,2.0,68319000000,3.0,True,1,True"
"Red Bull Racing,RIC,19,SOFT,2.0,68558000000,4.0,True,1,True"
"Red Bull Racing,RIC,20,SOFT,2.0,68201000000,5.0,True,1,True"
"Red Bull Racing,RIC,21,SOFT,2.0,68580000000,6.0,True,1,True"
"Red Bull Racing,RIC,22,SOFT,2.0,68656000000,7.0,True,1,True"
"Red Bull Racing,RIC,23,SOFT,2.0,68808000000,8.0,True,1,True"
"Red Bull Racing,RIC,24,SOFT,2.0,68696000000,9.0,True,1,True"
"Red Bull Racing,RIC,25,SOFT,2.0,68525000000,10.0,True,1,True"
"Red Bull Racing,RIC,26,SOFT,2.0,68585000000,11.0,True,1,True"
"Red Bull Racing,RIC,27,SOFT,2.0,68389000000,12.0,True,1,True"
"Red Bull Racing,RIC,28,SOFT,2.0,68745000000,13.0,True,1,True"
"Red Bull Racing,RIC,29,SOFT,2.0,68886000000,14.0,True,1,True"
"Red Bull Racing,RIC,30,SOFT,2.0,68676000000,15.0,True,1,True"
"Red Bull Racing,RIC,31,SOFT,2.0,68681000000,16.0,True,1,True"
"Red Bull Racing,RIC,32,SOFT,2.0,68592000000,17.0,True,1,True"
"Red Bull Racing,RIC,33,SOFT,2.0,68710000000,18.0,True,1,True"
"Red Bull Racing,RIC,34,SOFT,2.0,68735000000,19.0,True,1,True"
"Red Bull Racing,RIC,35,SOFT,2.0,68816000000,20.0,True,1,True"
"Red Bull Racing,RIC,36,SOFT,2.0,68809000000,21.0,True,1,True"
"Red Bull Racing,RIC,37,SOFT,2.0,69178000000,22.0,True,1,True"
"Red Bull Racing,RIC,38,SOFT,2.0,74630000000,23.0,True,1,False"
"Red Bull Racing,RIC,39,SUPERSOFT,3.0,86081000000,19.0,False,1,False"
"Red Bull Racing,RIC,40,SUPERSOFT,3.0,68855000000,20.0,False,1,True"
"Red Bull Racing,RIC,41,SUPERSOFT,3.0,68628000000,21.0,False,1,True"
"Red Bull Racing,RIC,42,SUPERSOFT,3.0,68484000000,22.0,False,1,True"
"Red Bull Racing,RIC,43,SUPERSOFT,3.0,68435000000,23.0,False,1,True"
"Red Bull Racing,RIC,44,SUPERSOFT,3.0,68147000000,24.0,False,1,True"
"Red Bull Racing,RIC,45,SUPERSOFT,3.0,68027000000,25.0,False,1,True"
"Red Bull Racing,RIC,46,SUPERSOFT,3.0,67591000000,26.0,False,1,True"
"Red Bull Racing,RIC,47,SUPERSOFT,3.0,68689000000,27.0,False,1,True"
"Red Bull Racing,RIC,48,SUPERSOFT,3.0,68490000000,28.0,False,1,True"
"Red Bull Racing,RIC,49,SUPERSOFT,3.0,67835000000,29.0,False,1,True"
"Red Bull Racing,RIC,50,SUPERSOFT,3.0,68806000000,30.0,False,1,True"
"Red Bull Racing,RIC,51,SUPERSOFT,3.0,68719000000,31.0,False,1,True"
"Red Bull Racing,RIC,52,SUPERSOFT,3.0,68358000000,32.0,False,1,True"
"Red Bull Racing,RIC,53,SUPERSOFT,3.0,67943000000,33.0,False,1,True"
