"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Mercedes,HAM,2.0,SUPERSOFT,1.0,None,6.0,False,4,False"
"Mercedes,HAM,3.0,SUPERSOFT,1.0,None,7.0,False,4,False"
"Mercedes,HAM,4.0,SUPERSOFT,1.0,None,8.0,False,4,False"
"Mercedes,HAM,5.0,SUPERSOFT,1.0,None,9.0,False,4,False"
"Mercedes,HAM,6.0,SUPERSOFT,1.0,113461000000,10.0,False,1,False"
"Mercedes,HAM,7.0,SUPERSOFT,1.0,109862000000,11.0,False,1,True"
"Mercedes,HAM,8.0,SUPERSOFT,1.0,108376000000,12.0,False,1,True"
"Mercedes,HAM,9.0,SUPERSOFT,1.0,107814000000,13.0,False,1,True"
"Mercedes,HAM,10.0,SUPERSOFT,1.0,107192000000,14.0,False,2,True"
"Mercedes,HAM,11.0,SUPERSOFT,1.0,107053000000,15.0,False,2,True"
"Mercedes,HAM,12.0,SUPERSOFT,1.0,107989000000,16.0,False,1,True"
"Mercedes,HAM,13.0,SUPERSOFT,1.0,107014000000,17.0,False,1,True"
"Mercedes,HAM,14.0,SUPERSOFT,1.0,107424000000,18.0,False,1,True"
"Mercedes,HAM,15.0,SUPERSOFT,1.0,107810000000,19.0,False,2,True"
"Mercedes,HAM,16.0,SUPERSOFT,1.0,107053000000,20.0,False,1,True"
"Mercedes,HAM,17.0,SUPERSOFT,1.0,107017000000,21.0,False,1,True"
"Mercedes,HAM,18.0,SUPERSOFT,1.0,106597000000,22.0,False,2,True"
"Mercedes,HAM,19.0,SUPERSOFT,1.0,106331000000,23.0,False,1,True"
"Mercedes,HAM,20.0,SUPERSOFT,1.0,106120000000,24.0,False,1,True"
"Mercedes,HAM,21.0,SUPERSOFT,1.0,106315000000,25.0,False,2,True"
"Mercedes,HAM,22.0,SUPERSOFT,1.0,115171000000,26.0,False,1,False"
"Mercedes,HAM,23.0,SOFT,2.0,124215000000,1.0,True,1,False"
"Mercedes,HAM,24.0,SOFT,2.0,107306000000,2.0,True,1,True"
"Mercedes,HAM,25.0,SOFT,2.0,106582000000,3.0,True,1,True"
"Mercedes,HAM,26.0,SOFT,2.0,106507000000,4.0,True,1,True"
"Mercedes,HAM,27.0,SOFT,2.0,106329000000,5.0,True,1,True"
"Mercedes,HAM,28.0,SOFT,2.0,106381000000,6.0,True,1,True"
"Mercedes,HAM,29.0,SOFT,2.0,106115000000,7.0,True,1,True"
"Mercedes,HAM,30.0,SOFT,2.0,105922000000,8.0,True,1,True"
"Mercedes,HAM,31.0,SOFT,2.0,106950000000,9.0,True,1,True"
"Mercedes,HAM,32.0,SOFT,2.0,105972000000,10.0,True,1,True"
"Mercedes,HAM,33.0,SOFT,2.0,106348000000,11.0,True,1,True"
"Mercedes,HAM,34.0,SOFT,2.0,105645000000,12.0,True,1,True"
"Mercedes,HAM,35.0,SOFT,2.0,105412000000,13.0,True,1,True"
"Mercedes,HAM,36.0,SOFT,2.0,107001000000,14.0,True,1,True"
"Mercedes,HAM,37.0,SOFT,2.0,105943000000,15.0,True,1,True"
"Mercedes,HAM,38.0,SOFT,2.0,105550000000,16.0,True,1,True"
"Mercedes,HAM,39.0,SOFT,2.0,105578000000,17.0,True,1,True"
"Mercedes,HAM,40.0,SOFT,2.0,125747000000,18.0,True,24,False"
"Mercedes,HAM,41.0,ULTRASOFT,3.0,None,1.0,True,4,False"
"Mercedes,HAM,42.0,ULTRASOFT,3.0,None,2.0,True,4,False"
"Mercedes,HAM,43.0,ULTRASOFT,3.0,None,3.0,True,4,False"
"Mercedes,HAM,44.0,ULTRASOFT,3.0,None,4.0,True,4,False"
"Mercedes,HAM,45.0,ULTRASOFT,3.0,None,5.0,True,4,False"
"Mercedes,HAM,46.0,ULTRASOFT,3.0,None,6.0,True,4,False"
"Mercedes,HAM,47.0,ULTRASOFT,3.0,None,7.0,True,4,False"
"Mercedes,HAM,48.0,ULTRASOFT,3.0,107795000000,8.0,True,1,False"
"Mercedes,HAM,49.0,ULTRASOFT,3.0,107735000000,9.0,True,2,True"
"Mercedes,HAM,50.0,ULTRASOFT,3.0,106017000000,10.0,True,2,True"
"Mercedes,HAM,51.0,ULTRASOFT,3.0,106842000000,11.0,True,1,True"
