"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Ferrari,RAI,2.0,SOFT,2.0,None,1.0,True,4,False"
"Ferrari,RAI,3.0,ULTRASOFT,3.0,None,1.0,True,4,False"
"Ferrari,RAI,4.0,ULTRASOFT,3.0,None,2.0,True,4,False"
"Ferrari,RAI,5.0,ULTRASOFT,3.0,None,3.0,True,4,False"
"Ferrari,RAI,6.0,ULTRASOFT,3.0,120197000000,4.0,True,1,False"
"Ferrari,RAI,7.0,ULTRASOFT,3.0,112728000000,5.0,True,1,True"
"Ferrari,RAI,8.0,ULTRASOFT,3.0,110211000000,6.0,True,1,True"
"Ferrari,RAI,9.0,ULTRASOFT,3.0,110313000000,7.0,True,1,True"
"Ferrari,RAI,10.0,ULTRASOFT,3.0,108803000000,8.0,True,2,True"
"Ferrari,RAI,11.0,ULTRASOFT,3.0,109699000000,9.0,True,2,True"
"Ferrari,RAI,12.0,ULTRASOFT,3.0,109824000000,10.0,True,1,True"
"Ferrari,RAI,13.0,ULTRASOFT,3.0,109943000000,11.0,True,1,True"
"Ferrari,RAI,14.0,ULTRASOFT,3.0,108328000000,12.0,True,1,True"
"Ferrari,RAI,15.0,ULTRASOFT,3.0,108332000000,13.0,True,2,True"
"Ferrari,RAI,16.0,ULTRASOFT,3.0,108256000000,14.0,True,1,True"
"Ferrari,RAI,17.0,ULTRASOFT,3.0,107774000000,15.0,True,1,True"
"Ferrari,RAI,18.0,ULTRASOFT,3.0,108719000000,16.0,True,2,True"
"Ferrari,RAI,19.0,ULTRASOFT,3.0,108065000000,17.0,True,1,True"
"Ferrari,RAI,20.0,ULTRASOFT,3.0,108226000000,18.0,True,2,True"
"Ferrari,RAI,21.0,ULTRASOFT,3.0,107443000000,19.0,True,1,True"
"Ferrari,RAI,22.0,ULTRASOFT,3.0,107262000000,20.0,True,1,True"
"Ferrari,RAI,23.0,ULTRASOFT,3.0,108088000000,21.0,True,1,True"
"Ferrari,RAI,24.0,ULTRASOFT,3.0,107850000000,22.0,True,1,True"
"Ferrari,RAI,25.0,ULTRASOFT,3.0,107790000000,23.0,True,1,True"
"Ferrari,RAI,26.0,ULTRASOFT,3.0,107604000000,24.0,True,1,True"
"Ferrari,RAI,27.0,ULTRASOFT,3.0,108332000000,25.0,True,1,True"
"Ferrari,RAI,28.0,ULTRASOFT,3.0,107770000000,26.0,True,1,True"
"Ferrari,RAI,29.0,ULTRASOFT,3.0,107443000000,27.0,True,1,True"
"Ferrari,RAI,30.0,ULTRASOFT,3.0,106865000000,28.0,True,1,True"
"Ferrari,RAI,31.0,ULTRASOFT,3.0,107508000000,29.0,True,1,True"
"Ferrari,RAI,32.0,ULTRASOFT,3.0,107267000000,30.0,True,1,True"
"Ferrari,RAI,33.0,ULTRASOFT,3.0,108517000000,31.0,True,1,True"
"Ferrari,RAI,34.0,ULTRASOFT,3.0,107421000000,32.0,True,1,True"
"Ferrari,RAI,35.0,ULTRASOFT,3.0,107329000000,33.0,True,1,True"
"Ferrari,RAI,36.0,ULTRASOFT,3.0,107237000000,34.0,True,1,True"
"Ferrari,RAI,37.0,ULTRASOFT,3.0,107049000000,35.0,True,1,True"
"Ferrari,RAI,38.0,ULTRASOFT,3.0,106859000000,36.0,True,1,True"
"Ferrari,RAI,39.0,ULTRASOFT,3.0,107473000000,37.0,True,1,True"
"Ferrari,RAI,40.0,ULTRASOFT,3.0,137585000000,38.0,True,24,False"
"Ferrari,RAI,41.0,ULTRASOFT,3.0,None,39.0,True,4,False"
"Ferrari,RAI,42.0,ULTRASOFT,3.0,138482000000,40.0,True,4,False"
"Ferrari,RAI,43.0,ULTRASOFT,3.0,None,41.0,True,4,False"
"Ferrari,RAI,44.0,ULTRASOFT,3.0,None,42.0,True,4,False"
"Ferrari,RAI,45.0,ULTRASOFT,3.0,None,43.0,True,4,False"
"Ferrari,RAI,46.0,ULTRASOFT,3.0,None,44.0,True,4,False"
"Ferrari,RAI,47.0,ULTRASOFT,3.0,None,45.0,True,4,False"
"Ferrari,RAI,48.0,ULTRASOFT,3.0,109615000000,46.0,True,1,False"
"Ferrari,RAI,49.0,ULTRASOFT,3.0,107950000000,47.0,True,2,True"
"Ferrari,RAI,50.0,ULTRASOFT,3.0,106523000000,48.0,True,2,True"
"Ferrari,RAI,51.0,ULTRASOFT,3.0,106675000000,49.0,True,1,True"
