"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Red Bull Racing,RIC,2.0,SUPERSOFT,1.0,None,5.0,False,4,False"
"Red Bull Racing,RIC,3.0,SUPERSOFT,1.0,None,6.0,False,4,False"
"Red Bull Racing,RIC,4.0,SUPERSOFT,1.0,None,7.0,False,4,False"
"Red Bull Racing,RIC,5.0,SUPERSOFT,1.0,None,8.0,False,4,False"
"Red Bull Racing,RIC,6.0,SUPERSOFT,1.0,117893000000,9.0,False,1,False"
"Red Bull Racing,RIC,7.0,SUPERSOFT,1.0,112644000000,10.0,False,1,True"
"Red Bull Racing,RIC,8.0,SUPERSOFT,1.0,110516000000,11.0,False,1,True"
"Red Bull Racing,RIC,9.0,SUPERSOFT,1.0,111093000000,12.0,False,1,True"
"Red Bull Racing,RIC,10.0,SUPERSOFT,1.0,109223000000,13.0,False,2,True"
"Red Bull Racing,RIC,11.0,SUPERSOFT,1.0,109547000000,14.0,False,2,True"
"Red Bull Racing,RIC,12.0,SUPERSOFT,1.0,110294000000,15.0,False,1,True"
"Red Bull Racing,RIC,13.0,SUPERSOFT,1.0,109087000000,16.0,False,1,True"
"Red Bull Racing,RIC,14.0,SUPERSOFT,1.0,108688000000,17.0,False,1,True"
"Red Bull Racing,RIC,15.0,SUPERSOFT,1.0,109154000000,18.0,False,2,True"
"Red Bull Racing,RIC,16.0,SUPERSOFT,1.0,107622000000,19.0,False,1,True"
"Red Bull Racing,RIC,17.0,SUPERSOFT,1.0,107743000000,20.0,False,1,True"
"Red Bull Racing,RIC,18.0,SUPERSOFT,1.0,107697000000,21.0,False,2,True"
"Red Bull Racing,RIC,19.0,SUPERSOFT,1.0,107310000000,22.0,False,1,True"
"Red Bull Racing,RIC,20.0,SUPERSOFT,1.0,107122000000,23.0,False,2,True"
"Red Bull Racing,RIC,21.0,SUPERSOFT,1.0,106903000000,24.0,False,1,True"
"Red Bull Racing,RIC,22.0,SUPERSOFT,1.0,106967000000,25.0,False,1,True"
"Red Bull Racing,RIC,23.0,SUPERSOFT,1.0,106497000000,26.0,False,1,True"
"Red Bull Racing,RIC,24.0,SUPERSOFT,1.0,106184000000,27.0,False,1,True"
"Red Bull Racing,RIC,25.0,SUPERSOFT,1.0,106493000000,28.0,False,1,True"
"Red Bull Racing,RIC,26.0,SUPERSOFT,1.0,105883000000,29.0,False,1,True"
"Red Bull Racing,RIC,27.0,SUPERSOFT,1.0,108993000000,30.0,False,1,True"
"Red Bull Racing,RIC,28.0,SUPERSOFT,1.0,106608000000,31.0,False,1,True"
"Red Bull Racing,RIC,29.0,SUPERSOFT,1.0,106446000000,32.0,False,1,True"
"Red Bull Racing,RIC,30.0,SUPERSOFT,1.0,105863000000,33.0,False,1,True"
"Red Bull Racing,RIC,31.0,SUPERSOFT,1.0,106110000000,34.0,False,1,True"
"Red Bull Racing,RIC,32.0,SUPERSOFT,1.0,106659000000,35.0,False,1,True"
"Red Bull Racing,RIC,33.0,SUPERSOFT,1.0,105864000000,36.0,False,1,True"
"Red Bull Racing,RIC,34.0,SUPERSOFT,1.0,105419000000,37.0,False,1,True"
"Red Bull Racing,RIC,35.0,SUPERSOFT,1.0,106182000000,38.0,False,1,True"
"Red Bull Racing,RIC,36.0,SUPERSOFT,1.0,106363000000,39.0,False,1,True"
"Red Bull Racing,RIC,37.0,SUPERSOFT,1.0,110554000000,40.0,False,1,False"
"Red Bull Racing,RIC,38.0,ULTRASOFT,2.0,122845000000,1.0,True,1,False"
"Red Bull Racing,RIC,39.0,ULTRASOFT,2.0,105602000000,2.0,True,1,True"
