"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"McLaren,ALO,2,SOFT,1.0,108812000000,1.0,True,26,False"
"McLaren,ALO,3,SOFT,1.0,128668000000,2.0,True,6,False"
"McLaren,ALO,4,SOFT,1.0,114298000000,3.0,True,67,False"
"McLaren,ALO,5,SOFT,1.0,98294000000,4.0,True,2,True"
"McLaren,ALO,6,SOFT,1.0,98082000000,5.0,True,2,True"
"McLaren,ALO,7,SOFT,1.0,97653000000,6.0,True,1,True"
"McLaren,ALO,8,SOFT,1.0,97744000000,7.0,True,1,True"
"McLaren,ALO,9,SOFT,1.0,97661000000,8.0,True,1,True"
"McLaren,ALO,10,SOFT,1.0,97996000000,9.0,True,2,True"
"McLaren,ALO,11,SOFT,1.0,97609000000,10.0,True,2,True"
"McLaren,ALO,12,SOFT,1.0,97811000000,11.0,True,1,False"
"McLaren,ALO,13,SOFT,1.0,97506000000,12.0,True,1,False"
"McLaren,ALO,14,SOFT,1.0,100167000000,13.0,True,1,False"
"McLaren,ALO,15,MEDIUM,2.0,116239000000,1.0,True,1,False"
"McLaren,ALO,16,MEDIUM,2.0,96902000000,2.0,True,1,True"
"McLaren,ALO,17,MEDIUM,2.0,96772000000,3.0,True,1,True"
"McLaren,ALO,18,MEDIUM,2.0,96946000000,4.0,True,1,True"
"McLaren,ALO,19,MEDIUM,2.0,96767000000,5.0,True,1,True"
"McLaren,ALO,20,MEDIUM,2.0,96872000000,6.0,True,1,True"
"McLaren,ALO,21,MEDIUM,2.0,96771000000,7.0,True,1,True"
"McLaren,ALO,22,MEDIUM,2.0,96772000000,8.0,True,1,True"
"McLaren,ALO,23,MEDIUM,2.0,96863000000,9.0,True,1,True"
"McLaren,ALO,24,MEDIUM,2.0,96686000000,10.0,True,1,True"
"McLaren,ALO,25,MEDIUM,2.0,96749000000,11.0,True,1,True"
"McLaren,ALO,26,MEDIUM,2.0,96471000000,12.0,True,1,True"
"McLaren,ALO,27,MEDIUM,2.0,96351000000,13.0,True,2,True"
"McLaren,ALO,28,MEDIUM,2.0,96568000000,14.0,True,1,True"
"McLaren,ALO,29,MEDIUM,2.0,96472000000,15.0,True,1,True"
"McLaren,ALO,30,MEDIUM,2.0,96382000000,16.0,True,1,True"
"McLaren,ALO,31,MEDIUM,2.0,96716000000,17.0,True,1,True"
"McLaren,ALO,32,MEDIUM,2.0,97045000000,18.0,True,1,True"
"McLaren,ALO,33,MEDIUM,2.0,96456000000,19.0,True,1,True"
"McLaren,ALO,34,MEDIUM,2.0,96425000000,20.0,True,1,True"
"McLaren,ALO,35,MEDIUM,2.0,96544000000,21.0,True,1,True"
"McLaren,ALO,36,MEDIUM,2.0,97010000000,22.0,True,1,True"
"McLaren,ALO,37,MEDIUM,2.0,96389000000,23.0,True,1,True"
"McLaren,ALO,38,MEDIUM,2.0,96362000000,24.0,True,1,True"
"McLaren,ALO,39,MEDIUM,2.0,99378000000,25.0,True,1,False"
"McLaren,ALO,40,SUPERSOFT,3.0,115063000000,1.0,True,2,False"
"McLaren,ALO,41,SUPERSOFT,3.0,95340000000,2.0,True,1,True"
"McLaren,ALO,42,SUPERSOFT,3.0,95695000000,3.0,True,1,True"
"McLaren,ALO,43,SUPERSOFT,3.0,95495000000,4.0,True,1,True"
"McLaren,ALO,44,SUPERSOFT,3.0,95739000000,5.0,True,1,True"
"McLaren,ALO,45,SUPERSOFT,3.0,95520000000,6.0,True,1,True"
"McLaren,ALO,46,SUPERSOFT,3.0,94615000000,7.0,True,1,True"
"McLaren,ALO,47,SUPERSOFT,3.0,94168000000,8.0,True,1,True"
"McLaren,ALO,48,SUPERSOFT,3.0,94314000000,9.0,True,1,True"
"McLaren,ALO,49,SUPERSOFT,3.0,94224000000,10.0,True,1,True"
"McLaren,ALO,50,SUPERSOFT,3.0,94375000000,11.0,True,1,True"
"McLaren,ALO,51,SUPERSOFT,3.0,94838000000,12.0,True,1,True"
"McLaren,ALO,52,SUPERSOFT,3.0,94567000000,13.0,True,1,True"
"McLaren,ALO,53,SUPERSOFT,3.0,94935000000,14.0,True,1,True"
"McLaren,ALO,54,SUPERSOFT,3.0,94837000000,15.0,True,1,True"
"McLaren,ALO,55,SUPERSOFT,3.0,94971000000,16.0,True,1,True"
"McLaren,ALO,56,SUPERSOFT,3.0,110723000000,17.0,True,1,True"
