"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"Haas F1 Team,GRO,2,SUPERSOFT,1.0,113053000000,1.0,True,26,False"
"Haas F1 Team,GRO,3,SUPERSOFT,1.0,127783000000,2.0,True,6,False"
"Haas F1 Team,GRO,4,SUPERSOFT,1.0,111907000000,3.0,True,67,False"
"Haas F1 Team,GRO,5,SUPERSOFT,1.0,97960000000,4.0,True,2,True"
"Haas F1 Team,GRO,6,SUPERSOFT,1.0,97738000000,5.0,True,2,True"
"Haas F1 Team,GRO,7,SUPERSOFT,1.0,99892000000,6.0,True,1,True"
"Haas F1 Team,GRO,8,SUPERSOFT,1.0,97986000000,7.0,True,1,True"
"Haas F1 Team,GRO,9,SUPERSOFT,1.0,98164000000,8.0,True,1,True"
"Haas F1 Team,GRO,10,SUPERSOFT,1.0,97889000000,9.0,True,2,True"
"Haas F1 Team,GRO,11,SUPERSOFT,1.0,97599000000,10.0,True,2,True"
"Haas F1 Team,GRO,12,SUPERSOFT,1.0,97817000000,11.0,True,1,False"
"Haas F1 Team,GRO,13,SUPERSOFT,1.0,97903000000,12.0,True,1,False"
"Haas F1 Team,GRO,14,SUPERSOFT,1.0,98222000000,13.0,True,1,True"
"Haas F1 Team,GRO,15,SUPERSOFT,1.0,98594000000,14.0,True,1,True"
"Haas F1 Team,GRO,16,SUPERSOFT,1.0,98193000000,15.0,True,1,True"
"Haas F1 Team,GRO,17,SUPERSOFT,1.0,98037000000,16.0,True,1,True"
"Haas F1 Team,GRO,18,SUPERSOFT,1.0,101290000000,17.0,True,1,False"
"Haas F1 Team,GRO,19,SOFT,2.0,116167000000,1.0,True,1,False"
"Haas F1 Team,GRO,20,SOFT,2.0,95492000000,2.0,True,1,True"
"Haas F1 Team,GRO,21,SOFT,2.0,96318000000,3.0,True,1,True"
"Haas F1 Team,GRO,22,SOFT,2.0,97505000000,4.0,True,1,True"
"Haas F1 Team,GRO,23,SOFT,2.0,97520000000,5.0,True,1,True"
"Haas F1 Team,GRO,24,SOFT,2.0,96937000000,6.0,True,1,True"
"Haas F1 Team,GRO,25,SOFT,2.0,97033000000,7.0,True,1,True"
"Haas F1 Team,GRO,26,SOFT,2.0,96708000000,8.0,True,2,True"
"Haas F1 Team,GRO,27,SOFT,2.0,96599000000,9.0,True,2,True"
"Haas F1 Team,GRO,28,SOFT,2.0,96531000000,10.0,True,1,True"
"Haas F1 Team,GRO,29,SOFT,2.0,96753000000,11.0,True,1,True"
"Haas F1 Team,GRO,30,SOFT,2.0,100026000000,12.0,True,1,False"
"Haas F1 Team,GRO,31,SUPERSOFT,3.0,115787000000,1.0,True,1,False"
"Haas F1 Team,GRO,32,SUPERSOFT,3.0,94578000000,2.0,True,1,True"
"Haas F1 Team,GRO,33,SUPERSOFT,3.0,96044000000,3.0,True,1,True"
"Haas F1 Team,GRO,34,SUPERSOFT,3.0,95648000000,4.0,True,1,True"
"Haas F1 Team,GRO,35,SUPERSOFT,3.0,97797000000,5.0,True,1,True"
"Haas F1 Team,GRO,36,SUPERSOFT,3.0,95489000000,6.0,True,1,True"
"Haas F1 Team,GRO,37,SUPERSOFT,3.0,95497000000,7.0,True,1,True"
"Haas F1 Team,GRO,38,SUPERSOFT,3.0,95578000000,8.0,True,1,True"
"Haas F1 Team,GRO,39,SUPERSOFT,3.0,95607000000,9.0,True,2,True"
"Haas F1 Team,GRO,40,SUPERSOFT,3.0,95821000000,10.0,True,2,True"
"Haas F1 Team,GRO,41,SUPERSOFT,3.0,95907000000,11.0,True,1,True"
"Haas F1 Team,GRO,42,SUPERSOFT,3.0,98073000000,12.0,True,1,True"
"Haas F1 Team,GRO,43,SUPERSOFT,3.0,95856000000,13.0,True,1,True"
"Haas F1 Team,GRO,44,SUPERSOFT,3.0,98800000000,14.0,True,1,True"
"Haas F1 Team,GRO,45,SUPERSOFT,3.0,103994000000,15.0,True,1,False"
"Haas F1 Team,GRO,46,SUPERSOFT,4.0,116846000000,1.0,True,1,False"
"Haas F1 Team,GRO,47,SUPERSOFT,4.0,94053000000,2.0,True,1,True"
"Haas F1 Team,GRO,48,SUPERSOFT,4.0,94491000000,3.0,True,1,True"
"Haas F1 Team,GRO,49,SUPERSOFT,4.0,94664000000,4.0,True,1,True"
"Haas F1 Team,GRO,50,SUPERSOFT,4.0,95802000000,5.0,True,1,True"
"Haas F1 Team,GRO,51,SUPERSOFT,4.0,95231000000,6.0,True,1,True"
"Haas F1 Team,GRO,52,SUPERSOFT,4.0,95373000000,7.0,True,1,True"
"Haas F1 Team,GRO,53,SUPERSOFT,4.0,95357000000,8.0,True,1,True"
"Haas F1 Team,GRO,54,SUPERSOFT,4.0,95607000000,9.0,True,1,True"
"Haas F1 Team,GRO,55,SUPERSOFT,4.0,95466000000,10.0,True,1,True"
"Haas F1 Team,GRO,56,SUPERSOFT,4.0,95324000000,11.0,True,1,True"
