"Team, Driver, LapNumber,Compound, Stint, LapTime, TyreLife, FreshTyre, TrackStatus, IsAccurate"
"McLaren,VAN,2,SOFT,2.0,113141000000,1.0,True,2,False"
"McLaren,VAN,3,SOFT,2.0,70847000000,2.0,True,1,True"
"McLaren,VAN,4,SOFT,2.0,70893000000,3.0,True,1,True"
"McLaren,VAN,5,SOFT,2.0,73286000000,4.0,True,1,True"
"McLaren,VAN,6,SOFT,2.0,75394000000,5.0,True,1,True"
"McLaren,VAN,7,SOFT,2.0,72359000000,6.0,True,1,True"
"McLaren,VAN,8,SOFT,2.0,70299000000,7.0,True,1,True"
"McLaren,VAN,9,SOFT,2.0,72647000000,8.0,True,1,True"
"McLaren,VAN,10,SOFT,2.0,72767000000,9.0,True,1,True"
"McLaren,VAN,11,SOFT,2.0,71077000000,10.0,True,2,True"
"McLaren,VAN,12,SOFT,2.0,70700000000,11.0,True,1,True"
"McLaren,VAN,13,SOFT,2.0,70961000000,12.0,True,2,True"
"McLaren,VAN,14,SOFT,2.0,95536000000,13.0,True,26,False"
"McLaren,VAN,15,SOFT,2.0,82051000000,14.0,True,67,False"
"McLaren,VAN,16,SOFT,2.0,70083000000,15.0,True,1,True"
"McLaren,VAN,17,SOFT,2.0,70449000000,16.0,True,1,True"
"McLaren,VAN,18,SOFT,2.0,71834000000,17.0,True,1,True"
"McLaren,VAN,19,SOFT,2.0,70335000000,18.0,True,1,True"
"McLaren,VAN,20,SOFT,2.0,70496000000,19.0,True,1,True"
"McLaren,VAN,21,SOFT,2.0,70345000000,20.0,True,1,True"
"McLaren,VAN,22,SOFT,2.0,70584000000,21.0,True,1,True"
"McLaren,VAN,23,SOFT,2.0,72732000000,22.0,True,1,True"
"McLaren,VAN,24,SOFT,2.0,71574000000,23.0,True,1,True"
"McLaren,VAN,25,SOFT,2.0,70332000000,24.0,True,1,True"
"McLaren,VAN,26,SOFT,2.0,70407000000,25.0,True,1,True"
"McLaren,VAN,27,SOFT,2.0,70543000000,26.0,True,1,True"
"McLaren,VAN,28,SOFT,2.0,70537000000,27.0,True,1,True"
"McLaren,VAN,29,SOFT,2.0,71855000000,28.0,True,1,True"
"McLaren,VAN,30,SOFT,2.0,70264000000,29.0,True,1,True"
"McLaren,VAN,31,SOFT,2.0,70323000000,30.0,True,1,True"
"McLaren,VAN,32,SOFT,2.0,72007000000,31.0,True,1,True"
"McLaren,VAN,33,SOFT,2.0,72219000000,32.0,True,1,True"
"McLaren,VAN,34,SOFT,2.0,72214000000,33.0,True,1,True"
"McLaren,VAN,35,SOFT,2.0,74141000000,34.0,True,1,True"
"McLaren,VAN,36,SOFT,2.0,71994000000,35.0,True,1,True"
"McLaren,VAN,37,SOFT,2.0,69915000000,36.0,True,1,True"
"McLaren,VAN,38,SOFT,2.0,69871000000,37.0,True,1,True"
"McLaren,VAN,39,SOFT,2.0,69820000000,38.0,True,1,True"
"McLaren,VAN,40,SOFT,2.0,75660000000,39.0,True,1,False"
"McLaren,VAN,41,SOFT,3.0,88282000000,1.0,True,1,False"
"McLaren,VAN,42,SOFT,3.0,69159000000,2.0,True,1,True"
"McLaren,VAN,43,SOFT,3.0,69303000000,3.0,True,1,True"
"McLaren,VAN,44,SOFT,3.0,69440000000,4.0,True,1,True"
"McLaren,VAN,45,SOFT,3.0,69636000000,5.0,True,1,True"
"McLaren,VAN,46,SOFT,3.0,69700000000,6.0,True,1,True"
"McLaren,VAN,47,SOFT,3.0,69348000000,7.0,True,1,True"
"McLaren,VAN,48,SOFT,3.0,69320000000,8.0,True,1,True"
"McLaren,VAN,49,SOFT,3.0,69551000000,9.0,True,1,True"
"McLaren,VAN,50,SOFT,3.0,69494000000,10.0,True,1,True"
"McLaren,VAN,51,SOFT,3.0,69176000000,11.0,True,1,True"
"McLaren,VAN,52,SOFT,3.0,69621000000,12.0,True,2,True"
"McLaren,VAN,53,SOFT,3.0,70512000000,13.0,True,2,True"
"McLaren,VAN,54,SOFT,3.0,69631000000,14.0,True,2,True"
"McLaren,VAN,55,SOFT,3.0,70539000000,15.0,True,2,True"
"McLaren,VAN,56,SOFT,3.0,70600000000,16.0,True,1,True"
"McLaren,VAN,57,SOFT,3.0,69463000000,17.0,True,1,True"
"McLaren,VAN,58,SOFT,3.0,69178000000,18.0,True,1,True"
"McLaren,VAN,59,SOFT,3.0,69245000000,19.0,True,1,True"
"McLaren,VAN,60,SOFT,3.0,69379000000,20.0,True,2,True"
"McLaren,VAN,61,SOFT,3.0,69397000000,21.0,True,2,True"
"McLaren,VAN,62,SOFT,3.0,69443000000,22.0,True,2,True"
"McLaren,VAN,63,SOFT,3.0,68894000000,23.0,True,1,True"
"McLaren,VAN,64,SOFT,3.0,69858000000,24.0,True,1,True"
"McLaren,VAN,65,SOFT,3.0,84589000000,25.0,True,1,False"
